TTP,Description,Occurence,Family
T1140,Deobfuscate/Decode Files or Information,3,"{""msilzilla"": 1, ""bobik"": 1, ""shelm"": 1}"
T1027,Obfuscated Files or Information,9,"{""msilzilla"": 1, ""shelma"": 1, ""rozena"": 5, ""bobik"": 1, ""shelm"": 1}"
T1497.001,Virtualization/Sandbox Evasion::System Checks,2,"{""msilzilla"": 1, ""shelma"": 1}"
T1083,File and Directory Discovery,13,"{""shelma"": 5, ""rozena"": 7, ""bobik"": 1}"
T1082,System Information Discovery,13,"{""shelma"": 5, ""rozena"": 7, ""bobik"": 1}"
T1059,Command and Scripting Interpreter,8,"{""shelma"": 1, ""rozena"": 7}"
T1129,Shared Modules,9,"{""shelma"": 1, ""rozena"": 8}"
T1115,Clipboard Data,3,"{""rozena"": 3}"
T1056.001,Input Capture::Keylogging,3,"{""rozena"": 3}"
T1113,Screen Capture,3,"{""rozena"": 3}"
T1564.003,Hide Artifacts::Hidden Window,5,"{""rozena"": 5}"
T1112,Modify Registry,3,"{""rozena"": 3}"
T1027.005,Obfuscated Files or Information::Indicator Removal from Tools,3,"{""rozena"": 3}"
T1553.005,Subvert Trust Controls::Mark-of-the-Web Bypass,3,"{""rozena"": 3}"
T1497.002,Virtualization/Sandbox Evasion::User Activity Based Checks,3,"{""rozena"": 3}"
T1087,Account Discovery,4,"{""rozena"": 3, ""bobik"": 1}"
T1010,Application Window Discovery,3,"{""rozena"": 3}"
T1057,Process Discovery,4,"{""rozena"": 3, ""bobik"": 1}"
T1012,Query Registry,7,"{""rozena"": 7}"
T1518,Software Discovery,4,"{""rozena"": 3, ""bobik"": 1}"
T1614,System Location Discovery,7,"{""rozena"": 7}"
T1033,System Owner/User Discovery,4,"{""rozena"": 3, ""bobik"": 1}"
T1007,System Service Discovery,3,"{""rozena"": 3}"
T1569.002,System Services::Service Execution,8,"{""rozena"": 8}"
T1047,Windows Management Instrumentation,7,"{""rozena"": 7}"
T1499,Endpoint Denial of Service,3,"{""rozena"": 3}"
T1489,Service Stop,3,"{""rozena"": 3}"
T1529,System Shutdown/Reboot,3,"{""rozena"": 3}"
T1547.001,Boot or Logon Autostart Execution::Registry Run Keys / Startup Folder,3,"{""rozena"": 3}"
T1543.003,Create or Modify System Process::Windows Service,3,"{""rozena"": 3}"
T1053.005,Scheduled Task/Job::Scheduled Task,3,"{""rozena"": 3}"
T1614.001,System Location Discovery::System Language Discovery,4,"{""rozena"": 4}"
T1620,Reflective Code Loading,1,"{""bobik"": 1}"
