Hash,TTP List,YARA List,API List,First Time Submission,Number of Nodes,Number of Edges,Type of C2
18f942389308ec90e03beff890832117030c9a10ccfd71737c0c6ac248e325b0,[],[],"['CloseHandle', 'CreateFileA', 'CreateFileMappingA', 'CreateFileW', 'CreateProcessA', 'DeleteCriticalSection', 'DeviceIoControl', 'EnterCriticalSection', 'FreeLibrary', 'GetConsoleWindow', 'GetCurrentProcess', 'GetLastError', 'GetModuleHandleA', 'GetStartupInfoA', 'GetSystemInfo', 'GlobalMemoryStatusEx', 'InitializeCriticalSection', 'LeaveCriticalSection', 'MapViewOfFile', 'SetProcessMitigationPolicy', 'SetUnhandledExceptionFilter', 'Sleep', 'TlsGetValue', 'VirtualProtect', 'VirtualQuery', 'WaitForSingleObject', '__C_specific_handler', '__getmainargs', '__iob_func', '__set_app_type', '_amsg_exit', '_cexit', '_initterm', '_onexit', 'abort', 'calloc', 'exit', 'fprintf', 'free', 'fwrite', 'malloc', 'memcpy', 'signal', 'strcmp', 'strlen', 'strncmp', 'strstr', 'vfprintf', 'NtAllocateVirtualMemory', 'NtQueueApcThread', 'NtResumeThread', 'NtWriteVirtualMemory', 'GetModuleInformation', 'GetSystemMetrics', 'ShowWindow']",2019-05-09,0,0,Posh
1d3cb2dbbaafe825d364624b827d84610a3daec2516e0a1df40b164efbe2cd90,[],[],"['CloseHandle', 'CreateFileA', 'CreateFileMappingA', 'CreateFileW', 'CreateProcessA', 'DeleteCriticalSection', 'DeviceIoControl', 'EnterCriticalSection', 'FreeLibrary', 'GetConsoleWindow', 'GetCurrentProcess', 'GetLastError', 'GetModuleHandleA', 'GetStartupInfoA', 'GetSystemInfo', 'GlobalMemoryStatusEx', 'InitializeCriticalSection', 'LeaveCriticalSection', 'MapViewOfFile', 'SetProcessMitigationPolicy', 'SetUnhandledExceptionFilter', 'Sleep', 'TlsGetValue', 'VirtualProtect', 'VirtualQuery', 'WaitForSingleObject', '__C_specific_handler', '__getmainargs', '__iob_func', '__set_app_type', '_amsg_exit', '_cexit', '_initterm', '_onexit', 'abort', 'calloc', 'exit', 'fprintf', 'free', 'fwrite', 'malloc', 'memcpy', 'signal', 'strcmp', 'strlen', 'strncmp', 'strstr', 'vfprintf', 'NtAllocateVirtualMemory', 'NtQueueApcThread', 'NtResumeThread', 'NtWriteVirtualMemory', 'GetModuleInformation', 'GetSystemMetrics', 'ShowWindow']",2019-08-12,0,0,Posh
4fc7be475d6f2ff3aeae22e0f84255d670ba2ba9029696a63c1a4494b051c5c2,[],"['Windows_API_Function', 'Windows_API_Function', 'Windows_API_Function', 'Empire_PowerShell_Framework_Gen4']","['CloseHandle', 'CreateFileA', 'CreateFileMappingA', 'CreateFileW', 'CreateProcessA', 'DeleteCriticalSection', 'DeviceIoControl', 'EnterCriticalSection', 'FreeLibrary', 'GetConsoleWindow', 'GetCurrentProcess', 'GetLastError', 'GetModuleHandleA', 'GetStartupInfoA', 'GetSystemInfo', 'GlobalMemoryStatusEx', 'InitializeCriticalSection', 'LeaveCriticalSection', 'MapViewOfFile', 'SetProcessMitigationPolicy', 'SetUnhandledExceptionFilter', 'Sleep', 'TlsGetValue', 'VirtualProtect', 'VirtualQuery', 'WaitForSingleObject', '__C_specific_handler', '__getmainargs', '__iob_func', '__set_app_type', '_amsg_exit', '_cexit', '_initterm', '_onexit', 'abort', 'calloc', 'exit', 'fprintf', 'free', 'fwrite', 'malloc', 'memcpy', 'signal', 'strcmp', 'strlen', 'strncmp', 'strstr', 'vfprintf', 'NtAllocateVirtualMemory', 'NtQueueApcThread', 'NtResumeThread', 'NtWriteVirtualMemory', 'GetModuleInformation', 'GetSystemMetrics', 'ShowWindow']",2019-10-12,0,0,Posh
5e69d2fe6a453f3e5e5b2cfc9a44825430bc92594b436e48989dde81b023ccb2,[],[],"['CloseHandle', 'CreateFileA', 'CreateFileMappingA', 'CreateFileW', 'CreateProcessA', 'DeleteCriticalSection', 'DeviceIoControl', 'EnterCriticalSection', 'FreeLibrary', 'GetConsoleWindow', 'GetCurrentProcess', 'GetLastError', 'GetModuleHandleA', 'GetStartupInfoA', 'GetSystemInfo', 'GlobalMemoryStatusEx', 'InitializeCriticalSection', 'LeaveCriticalSection', 'MapViewOfFile', 'SetProcessMitigationPolicy', 'SetUnhandledExceptionFilter', 'Sleep', 'TlsGetValue', 'VirtualProtect', 'VirtualQuery', 'WaitForSingleObject', '__C_specific_handler', '__getmainargs', '__iob_func', '__set_app_type', '_amsg_exit', '_cexit', '_initterm', '_onexit', 'abort', 'calloc', 'exit', 'fprintf', 'free', 'fwrite', 'malloc', 'memcpy', 'signal', 'strcmp', 'strlen', 'strncmp', 'strstr', 'vfprintf', 'NtAllocateVirtualMemory', 'NtQueueApcThread', 'NtResumeThread', 'NtWriteVirtualMemory', 'GetModuleInformation', 'GetSystemMetrics', 'ShowWindow']",2023-05-13,0,0,Posh
6f855843f2730d746cef963868db3062198adc1f7d1459466489895e02716024,[],[],"['CloseHandle', 'CreateFileA', 'CreateFileMappingA', 'CreateFileW', 'CreateProcessA', 'DeleteCriticalSection', 'DeviceIoControl', 'EnterCriticalSection', 'FreeLibrary', 'GetConsoleWindow', 'GetCurrentProcess', 'GetLastError', 'GetModuleHandleA', 'GetStartupInfoA', 'GetSystemInfo', 'GlobalMemoryStatusEx', 'InitializeCriticalSection', 'LeaveCriticalSection', 'MapViewOfFile', 'SetProcessMitigationPolicy', 'SetUnhandledExceptionFilter', 'Sleep', 'TlsGetValue', 'VirtualProtect', 'VirtualQuery', 'WaitForSingleObject', '__C_specific_handler', '__getmainargs', '__iob_func', '__set_app_type', '_amsg_exit', '_cexit', '_initterm', '_onexit', 'abort', 'calloc', 'exit', 'fprintf', 'free', 'fwrite', 'malloc', 'memcpy', 'signal', 'strcmp', 'strlen', 'strncmp', 'strstr', 'vfprintf', 'NtAllocateVirtualMemory', 'NtQueueApcThread', 'NtResumeThread', 'NtWriteVirtualMemory', 'GetModuleInformation', 'GetSystemMetrics', 'ShowWindow']",2023-03-17,0,0,Posh
706748ba8f0b58c68b8365307f62ee007b9edeea6c7db04fc6a7933826cecfd3,[],['Empire_Get_Keystrokes'],"['CloseHandle', 'CreateFileA', 'CreateFileMappingA', 'CreateFileW', 'CreateProcessA', 'DeleteCriticalSection', 'DeviceIoControl', 'EnterCriticalSection', 'FreeLibrary', 'GetConsoleWindow', 'GetCurrentProcess', 'GetLastError', 'GetModuleHandleA', 'GetStartupInfoA', 'GetSystemInfo', 'GlobalMemoryStatusEx', 'InitializeCriticalSection', 'LeaveCriticalSection', 'MapViewOfFile', 'SetProcessMitigationPolicy', 'SetUnhandledExceptionFilter', 'Sleep', 'TlsGetValue', 'VirtualProtect', 'VirtualQuery', 'WaitForSingleObject', '__C_specific_handler', '__getmainargs', '__iob_func', '__set_app_type', '_amsg_exit', '_cexit', '_initterm', '_onexit', 'abort', 'calloc', 'exit', 'fprintf', 'free', 'fwrite', 'malloc', 'memcpy', 'signal', 'strcmp', 'strlen', 'strncmp', 'strstr', 'vfprintf', 'NtAllocateVirtualMemory', 'NtQueueApcThread', 'NtResumeThread', 'NtWriteVirtualMemory', 'GetModuleInformation', 'GetSystemMetrics', 'ShowWindow']",2023-06-08,0,0,Posh
929adf742ed95b8c1d2fd98493438fac8cadb50e4cced90bbc7170fda452af92,[],[],"['CloseHandle', 'CreateFileA', 'CreateFileMappingA', 'CreateFileW', 'CreateProcessA', 'DeleteCriticalSection', 'DeviceIoControl', 'EnterCriticalSection', 'FreeLibrary', 'GetConsoleWindow', 'GetCurrentProcess', 'GetLastError', 'GetModuleHandleA', 'GetStartupInfoA', 'GetSystemInfo', 'GlobalMemoryStatusEx', 'InitializeCriticalSection', 'LeaveCriticalSection', 'MapViewOfFile', 'SetProcessMitigationPolicy', 'SetUnhandledExceptionFilter', 'Sleep', 'TlsGetValue', 'VirtualProtect', 'VirtualQuery', 'WaitForSingleObject', '__C_specific_handler', '__getmainargs', '__iob_func', '__set_app_type', '_amsg_exit', '_cexit', '_initterm', '_onexit', 'abort', 'calloc', 'exit', 'fprintf', 'free', 'fwrite', 'malloc', 'memcpy', 'signal', 'strcmp', 'strlen', 'strncmp', 'strstr', 'vfprintf', 'NtAllocateVirtualMemory', 'NtQueueApcThread', 'NtResumeThread', 'NtWriteVirtualMemory', 'GetModuleInformation', 'GetSystemMetrics', 'ShowWindow']",2023-06-02,0,0,Posh
a92fddb751dded78978966940c7753531c18eb82e5ba8e97105a9e6509ef98b3,[],"['Windows_API_Function', 'Windows_API_Function', 'Windows_API_Function', 'Hacktool_Strings_p0wnedShell']","['CloseHandle', 'CreateFileA', 'CreateFileMappingA', 'CreateFileW', 'CreateProcessA', 'DeleteCriticalSection', 'DeviceIoControl', 'EnterCriticalSection', 'FreeLibrary', 'GetConsoleWindow', 'GetCurrentProcess', 'GetLastError', 'GetModuleHandleA', 'GetStartupInfoA', 'GetSystemInfo', 'GlobalMemoryStatusEx', 'InitializeCriticalSection', 'LeaveCriticalSection', 'MapViewOfFile', 'SetProcessMitigationPolicy', 'SetUnhandledExceptionFilter', 'Sleep', 'TlsGetValue', 'VirtualProtect', 'VirtualQuery', 'WaitForSingleObject', '__C_specific_handler', '__getmainargs', '__iob_func', '__set_app_type', '_amsg_exit', '_cexit', '_initterm', '_onexit', 'abort', 'calloc', 'exit', 'fprintf', 'free', 'fwrite', 'malloc', 'memcpy', 'signal', 'strcmp', 'strlen', 'strncmp', 'strstr', 'vfprintf', 'NtAllocateVirtualMemory', 'NtQueueApcThread', 'NtResumeThread', 'NtWriteVirtualMemory', 'GetModuleInformation', 'GetSystemMetrics', 'ShowWindow']",2015-09-14,0,0,Posh
afb46cd7278a77cfb28903bf221e68134f55032138850d6fefe70945dc8abfcf,[],[],"['CloseHandle', 'CreateFileA', 'CreateFileMappingA', 'CreateFileW', 'CreateProcessA', 'DeleteCriticalSection', 'DeviceIoControl', 'EnterCriticalSection', 'FreeLibrary', 'GetConsoleWindow', 'GetCurrentProcess', 'GetLastError', 'GetModuleHandleA', 'GetStartupInfoA', 'GetSystemInfo', 'GlobalMemoryStatusEx', 'InitializeCriticalSection', 'LeaveCriticalSection', 'MapViewOfFile', 'SetProcessMitigationPolicy', 'SetUnhandledExceptionFilter', 'Sleep', 'TlsGetValue', 'VirtualProtect', 'VirtualQuery', 'WaitForSingleObject', '__C_specific_handler', '__getmainargs', '__iob_func', '__set_app_type', '_amsg_exit', '_cexit', '_initterm', '_onexit', 'abort', 'calloc', 'exit', 'fprintf', 'free', 'fwrite', 'malloc', 'memcpy', 'signal', 'strcmp', 'strlen', 'strncmp', 'strstr', 'vfprintf', 'NtAllocateVirtualMemory', 'NtQueueApcThread', 'NtResumeThread', 'NtWriteVirtualMemory', 'GetModuleInformation', 'GetSystemMetrics', 'ShowWindow']",2019-12-01,0,0,Posh
dc3c6daf88e79c8c92d54a666b242a5d78d75b3970d695a76a71034036d1af7f,[],[],"['CloseHandle', 'CreateFileA', 'CreateFileMappingA', 'CreateFileW', 'CreateProcessA', 'DeleteCriticalSection', 'DeviceIoControl', 'EnterCriticalSection', 'FreeLibrary', 'GetConsoleWindow', 'GetCurrentProcess', 'GetLastError', 'GetModuleHandleA', 'GetStartupInfoA', 'GetSystemInfo', 'GlobalMemoryStatusEx', 'InitializeCriticalSection', 'LeaveCriticalSection', 'MapViewOfFile', 'SetProcessMitigationPolicy', 'SetUnhandledExceptionFilter', 'Sleep', 'TlsGetValue', 'VirtualProtect', 'VirtualQuery', 'WaitForSingleObject', '__C_specific_handler', '__getmainargs', '__iob_func', '__set_app_type', '_amsg_exit', '_cexit', '_initterm', '_onexit', 'abort', 'calloc', 'exit', 'fprintf', 'free', 'fwrite', 'malloc', 'memcpy', 'signal', 'strcmp', 'strlen', 'strncmp', 'strstr', 'vfprintf', 'NtAllocateVirtualMemory', 'NtQueueApcThread', 'NtResumeThread', 'NtWriteVirtualMemory', 'GetModuleInformation', 'GetSystemMetrics', 'ShowWindow']",2023-05-19,0,0,Posh
