Hash,TTP List,YARA List,API List,First Time Submission,Number of Nodes,Number of Edges,Type of C2
009f0391a6ad93e17b7c8719dcbdb50d46bc5cb6afe8af2a60e00f4bcb41cf3e,[],[],"['CloseHandle', 'CreateFileA', 'CreateFileMappingA', 'CreateFileW', 'CreateProcessA', 'DeleteCriticalSection', 'DeviceIoControl', 'EnterCriticalSection', 'FreeLibrary', 'GetConsoleWindow', 'GetCurrentProcess', 'GetLastError', 'GetModuleHandleA', 'GetStartupInfoA', 'GetSystemInfo', 'GlobalMemoryStatusEx', 'InitializeCriticalSection', 'LeaveCriticalSection', 'MapViewOfFile', 'SetProcessMitigationPolicy', 'SetUnhandledExceptionFilter', 'Sleep', 'TlsGetValue', 'VirtualProtect', 'VirtualQuery', 'WaitForSingleObject', '__C_specific_handler', '__getmainargs', '__iob_func', '__set_app_type', '_amsg_exit', '_cexit', '_initterm', '_onexit', 'abort', 'calloc', 'exit', 'fprintf', 'free', 'fwrite', 'malloc', 'memcpy', 'signal', 'strcmp', 'strlen', 'strncmp', 'strstr', 'vfprintf', 'NtAllocateVirtualMemory', 'NtQueueApcThread', 'NtResumeThread', 'NtWriteVirtualMemory', 'GetModuleInformation', 'GetSystemMetrics', 'ShowWindow']",2023-06-10,0,0,Sliver
0469cdc87c475c16616265680c21dabe96b35aea89079c14379c730c8487e3e2,[],[],"['CloseHandle', 'CreateFileA', 'CreateFileMappingA', 'CreateFileW', 'CreateProcessA', 'DeleteCriticalSection', 'DeviceIoControl', 'EnterCriticalSection', 'FreeLibrary', 'GetConsoleWindow', 'GetCurrentProcess', 'GetLastError', 'GetModuleHandleA', 'GetStartupInfoA', 'GetSystemInfo', 'GlobalMemoryStatusEx', 'InitializeCriticalSection', 'LeaveCriticalSection', 'MapViewOfFile', 'SetProcessMitigationPolicy', 'SetUnhandledExceptionFilter', 'Sleep', 'TlsGetValue', 'VirtualProtect', 'VirtualQuery', 'WaitForSingleObject', '__C_specific_handler', '__getmainargs', '__iob_func', '__set_app_type', '_amsg_exit', '_cexit', '_initterm', '_onexit', 'abort', 'calloc', 'exit', 'fprintf', 'free', 'fwrite', 'malloc', 'memcpy', 'signal', 'strcmp', 'strlen', 'strncmp', 'strstr', 'vfprintf', 'NtAllocateVirtualMemory', 'NtQueueApcThread', 'NtResumeThread', 'NtWriteVirtualMemory', 'GetModuleInformation', 'GetSystemMetrics', 'ShowWindow']",2022-10-02,781,1118,Sliver
0f513c3e02861ed6dbdd05407704d1467a53d519004601f97f4877437a2ecca7,[],"['UPX', 'UPX']","['LoadLibraryA', 'ExitProcess', 'GetProcAddress', 'VirtualProtect', 'exit']",2023-07-21,0,0,Sliver
17df554651962ebb1424a549ddc43f2a7e0e25a571ddfe454393b4f413261296,"['T1055.003', 'T1620']",[],"['LoadLibraryA', 'ExitProcess', 'GetProcAddress', 'VirtualProtect', 'exit']",2022-09-19,13,6,Sliver
1846c1db07d4f9a3a86605e38c0be5da38074b91cfafa1a72bccc693b06346e4,[],[],"['LoadLibraryA', 'ExitProcess', 'GetProcAddress', 'VirtualProtect', 'exit']",2022-09-13,0,0,Sliver
2575839abd5b161005679ce6711e4a5213881a58f1a8598b0c7fce834e879bd1,[],[],"['WriteFile', 'WriteConsoleW', 'WaitForSingleObject', 'VirtualQuery', 'VirtualFree', 'VirtualAlloc', 'SwitchToThread', 'SetWaitableTimer', 'SetUnhandledExceptionFilter', 'SetProcessPriorityBoost', 'SetEvent', 'SetErrorMode', 'SetConsoleCtrlHandler', 'LoadLibraryA', 'LoadLibraryW', 'GetSystemInfo', 'GetSystemDirectoryA', 'GetStdHandle', 'GetQueuedCompletionStatus', 'GetProcessAffinityMask', 'GetProcAddress', 'GetEnvironmentStringsW', 'GetConsoleMode', 'FreeEnvironmentStringsW', 'ExitProcess', 'DuplicateHandle', 'CreateThread', 'CreateIoCompletionPort', 'CreateEventA', 'CloseHandle', 'AddVectoredExceptionHandler']",2021-02-03,18124,21593,Sliver
2ae550442e867b5d384b2a27e2d18acf6bc11921f94a0f0fe29fe3b9246cdc8e,[],[],"['WriteFile', 'WriteConsoleW', 'WaitForSingleObject', 'VirtualQuery', 'VirtualFree', 'VirtualAlloc', 'SwitchToThread', 'SetWaitableTimer', 'SetUnhandledExceptionFilter', 'SetProcessPriorityBoost', 'SetEvent', 'SetErrorMode', 'SetConsoleCtrlHandler', 'LoadLibraryA', 'LoadLibraryW', 'GetSystemInfo', 'GetSystemDirectoryA', 'GetStdHandle', 'GetQueuedCompletionStatus', 'GetProcessAffinityMask', 'GetProcAddress', 'GetEnvironmentStringsW', 'GetConsoleMode', 'FreeEnvironmentStringsW', 'ExitProcess', 'DuplicateHandle', 'CreateThread', 'CreateIoCompletionPort', 'CreateEventA', 'CloseHandle', 'AddVectoredExceptionHandler']",2023-07-01,0,0,Sliver
2b786b8895d814c5d825f4eac99b009eb6aa16f66f6e5191b023e4ebc99fda66,[],[],"['WriteFile', 'WriteConsoleW', 'WaitForSingleObject', 'VirtualQuery', 'VirtualFree', 'VirtualAlloc', 'SwitchToThread', 'SetWaitableTimer', 'SetUnhandledExceptionFilter', 'SetProcessPriorityBoost', 'SetEvent', 'SetErrorMode', 'SetConsoleCtrlHandler', 'LoadLibraryA', 'LoadLibraryW', 'GetSystemInfo', 'GetSystemDirectoryA', 'GetStdHandle', 'GetQueuedCompletionStatus', 'GetProcessAffinityMask', 'GetProcAddress', 'GetEnvironmentStringsW', 'GetConsoleMode', 'FreeEnvironmentStringsW', 'ExitProcess', 'DuplicateHandle', 'CreateThread', 'CreateIoCompletionPort', 'CreateEventA', 'CloseHandle', 'AddVectoredExceptionHandler']",2023-02-19,0,0,Sliver
2c2cccca7385ec20c2fa83a26b1be5e06723677f76f0d7fb9a7d65c52204748a,[],['Sliver_Implant_32bit'],"['WriteFile', 'WriteConsoleW', 'WaitForSingleObject', 'VirtualQuery', 'VirtualFree', 'VirtualAlloc', 'SwitchToThread', 'SetWaitableTimer', 'SetUnhandledExceptionFilter', 'SetProcessPriorityBoost', 'SetEvent', 'SetErrorMode', 'SetConsoleCtrlHandler', 'LoadLibraryA', 'LoadLibraryW', 'GetSystemInfo', 'GetSystemDirectoryA', 'GetStdHandle', 'GetQueuedCompletionStatus', 'GetProcessAffinityMask', 'GetProcAddress', 'GetEnvironmentStringsW', 'GetConsoleMode', 'FreeEnvironmentStringsW', 'ExitProcess', 'DuplicateHandle', 'CreateThread', 'CreateIoCompletionPort', 'CreateEventA', 'CloseHandle', 'AddVectoredExceptionHandler']",2023-06-09,0,0,Sliver
31e21a23b571fb59b029dbf521ba63302aff87a9de53f16e5e2599060f168805,[],[],"['WriteFile', 'WriteConsoleW', 'WaitForSingleObject', 'VirtualQuery', 'VirtualFree', 'VirtualAlloc', 'SwitchToThread', 'SetWaitableTimer', 'SetUnhandledExceptionFilter', 'SetProcessPriorityBoost', 'SetEvent', 'SetErrorMode', 'SetConsoleCtrlHandler', 'LoadLibraryA', 'LoadLibraryW', 'GetSystemInfo', 'GetSystemDirectoryA', 'GetStdHandle', 'GetQueuedCompletionStatus', 'GetProcessAffinityMask', 'GetProcAddress', 'GetEnvironmentStringsW', 'GetConsoleMode', 'FreeEnvironmentStringsW', 'ExitProcess', 'DuplicateHandle', 'CreateThread', 'CreateIoCompletionPort', 'CreateEventA', 'CloseHandle', 'AddVectoredExceptionHandler']",2023-02-19,0,0,Sliver
