Hash,TTP List,YARA List,API List,First Time Submission,Number of Nodes,Number of Edges,Type of C2
008659a4bb257a2553a42ce170617f26af97a86820c855787ea56e15925a7feb,[],[],"['WriteFile', 'WriteConsoleW', 'WaitForMultipleObjects', 'WaitForSingleObject', 'VirtualQuery', 'VirtualFree', 'VirtualAlloc', 'TlsAlloc', 'SwitchToThread', 'SuspendThread', 'SetWaitableTimer', 'SetUnhandledExceptionFilter', 'SetProcessPriorityBoost', 'SetEvent', 'SetErrorMode', 'SetConsoleCtrlHandler', 'ResumeThread', 'PostQueuedCompletionStatus', 'LoadLibraryA', 'LoadLibraryW', 'SetThreadContext', 'GetThreadContext', 'GetSystemInfo', 'GetSystemDirectoryA', 'GetStdHandle', 'GetQueuedCompletionStatusEx', 'GetProcessAffinityMask', 'GetProcAddress', 'GetEnvironmentStringsW', 'GetConsoleMode', 'FreeEnvironmentStringsW', 'ExitProcess', 'DuplicateHandle', 'CreateWaitableTimerExW', 'CreateThread', 'CreateIoCompletionPort', 'CreateFileA', 'CreateEventA', 'CloseHandle', 'AddVectoredExceptionHandler']",2023-03-08,28,14,CobaltStrike
03825741c04fb75f7bcb5d53d54ccbd0a7c00ebf3f187084e49b0fb95e67b51e,"['T1056.001', 'T1125', 'T1012', 'T1082']",[],"['LCMapStringW', 'GetStringTypeW', 'WriteConsoleW', 'SetStdHandle', 'GetCPInfo', 'GetOEMCP', 'GetACP', 'IsValidCodePage', 'SetFilePointerEx', 'GetConsoleMode', 'GetConsoleCP', 'FreeEnvironmentStringsW', 'GetEnvironmentStringsW', 'GetSystemTimeAsFileTime', 'QueryPerformanceCounter', 'GetFileType', 'RtlPcToFileHeader', 'GetStartupInfoW', 'TlsFree', 'TlsSetValue', 'TlsGetValue', 'TerminateProcess', 'Sleep', 'SetUnhandledExceptionFilter', 'UnhandledExceptionFilter', 'RtlVirtualUnwind', 'RtlLookupFunctionEntry', 'RtlCaptureContext', 'HeapReAlloc', 'HeapSize', 'RtlUnwindEx', 'WriteFile', 'GetStdHandle', 'WideCharToMultiByte', 'GetModuleHandleExW', 'ExitProcess', 'GetCommandLineW', 'IsProcessorFeaturePresent', 'EncodePointer', 'OutputDebugStringW', 'IsDebuggerPresent', 'VirtualFree', 'VirtualAlloc', 'InterlockedPushEntrySList', 'InterlockedPopEntrySList', 'InitializeSListHead', 'GetProcessHeap', 'HeapFree', 'HeapAlloc', 'FlushFileBuffers', 'CreateFileW', 'GlobalReAlloc', 'GetCurrentProcessId', 'GetCurrentThreadId', 'DeleteCriticalSection', 'lstrcmpiW', 'DecodePointer', 'LockResource', 'GlobalFree', 'EnterCriticalSection', 'GetProcAddress', 'SetLastError', 'GetLastError', 'VerifyVersionInfoW', 'RaiseException', 'FlushInstructionCache', 'GlobalUnlock', 'lstrlenW', 'MultiByteToWideChar', 'lstrcmpW', 'CloseHandle', 'GetModuleFileNameW', 'LeaveCriticalSection', 'SizeofResource', 'InitializeCriticalSectionAndSpinCount', 'LoadLibraryW', 'GlobalAlloc', 'GetModuleHandleW', 'GlobalLock', 'GetCurrentProcess', 'VerSetConditionMask', 'LoadLibraryExW', 'LoadResource', 'FreeLibrary', 'FindResourceW', 'TlsAlloc', 'VirtualQuery', 'TranslateAcceleratorW', 'ScreenToClient', 'IsMenu', 'GetMessageW', 'MonitorFromPoint', 'PostQuitMessage', 'CharNextW', 'GetWindowDC', 'RegisterWindowMessageW', 'FillRect', 'DestroyWindow', 'LoadImageW', 'UnregisterClassW', 'PostMessageW', 'DispatchMessageW', 'GetWindow', 'GetWindowThreadProcessId', 'GetMessagePos', 'DefWindowProcW', 'CallWindowProcW', 'GetMonitorInfoW', 'EndPaint', 'GetMenuItemID', 'DrawTextW', 'GetKeyState', 'DialogBoxIndirectParamW', 'GetSubMenu', 'LoadStringA', 'GetFocus', 'DialogBoxParamW', 'GetParent', 'LoadCursorW', 'CallNextHookEx', 'MessageBeep', 'SetMenuItemInfoW', 'DrawFrameControl', 'DestroyMenu', 'IsWindowEnabled', 'WindowFromPoint', 'GetWindowLongPtrW', 'GetClientRect', 'SetFocus', 'DrawEdge', 'GetMenuItemInfoW', 'SetRectEmpty', 'ModifyMenuW', 'BeginPaint', 'PtInRect', 'GetClassInfoExW', 'CharLowerW', 'GetDC', 'TranslateMessage', 'LoadAcceleratorsW', 'InflateRect', 'GetMenu', 'RegisterClassExW', 'OffsetRect', 'TrackPopupMenuEx', 'CheckMenuRadioItem', 'MessageBoxA', 'InvalidateRect', 'LoadMenuW', 'GetWindowLongW', 'AppendMenuW', 'SystemParametersInfoW', 'PeekMessageW', 'GetClassNameW', 'ReleaseDC', 'MonitorFromWindow', 'EndDialog', 'GetSysColor', 'SetWindowPos', 'LoadStringW', 'ShowWindow', 'SetMenu', 'CreatePopupMenu', 'GetSysColorBrush', 'FrameRect', 'LoadBitmapW', 'GetActiveWindow', 'GetMenuItemCount', 'IsWindow', 'RemoveMenu', 'CreateWindowExW', 'SetMenuDefaultItem', 'SetWindowsHookExW', 'UnhookWindowsHookEx', 'GetSystemMetrics', 'IsWindowVisible', 'SetWindowLongPtrW', 'SendMessageW', 'MapWindowPoints', 'UpdateWindow', 'GetWindowRect', 'BitBlt', 'PatBlt', 'SetTextColor', 'DeleteDC', 'CreateDIBSection', 'CreateFontIndirectW', 'SetBrushOrgEx', 'GetStockObject', 'CreatePatternBrush', 'GetObjectW', 'CreateCompatibleBitmap', 'CreateCompatibleDC', 'SelectObject', 'DeleteObject', 'SetBkMode', 'CreateBitmap', 'GetCurrentObject', 'SetBkColor', 'RegQueryInfoKeyW', 'RegDeleteKeyW', 'RegDeleteValueW', 'RegOpenKeyExW', 'RegEnumKeyExW', 'RegCloseKey', 'RegSetValueExW', 'RegCreateKeyExW', 'CoInitialize', 'CoTaskMemRealloc', 'CoUninitialize', 'CoCreateInstance', 'CoTaskMemFree', 'CoTaskMemAlloc', 'Ordinal_277', 'ImageList_DrawIndirect', 'ImageList_Draw', 'CreateStatusWindowW', 'ImageList_AddMasked', 'InitCommonControlsEx', 'ImageList_LoadImageW', 'ImageList_Create', 'ImageList_GetImageCount', 'Ordinal_8', 'ImageList_Destroy', 'IsThemeActive', 'IsAppThemed']",2023-05-06,9249,10310,CobaltStrike
03a9d6afc99e70333723d921bd1265ac948cdabb8b15689b5ceb1c02365a9572,[],[],"['VirtualAlloc', 'VirtualProtect', 'GetProcAddress', 'LoadLibraryA', 'GetLastError', 'InitializeCriticalSection', 'EnterCriticalSection', 'LeaveCriticalSection', 'DeleteCriticalSection', 'LocalFree', 'FormatMessageA', 'SetEndOfFile', 'UnhandledExceptionFilter', 'SetUnhandledExceptionFilter', 'GetCurrentProcess', 'TerminateProcess', 'IsProcessorFeaturePresent', 'IsDebuggerPresent', 'GetStartupInfoW', 'GetModuleHandleW', 'QueryPerformanceCounter', 'GetCurrentProcessId', 'GetCurrentThreadId', 'GetSystemTimeAsFileTime', 'InitializeSListHead', 'RaiseException', 'RtlUnwind', 'SetLastError', 'EncodePointer', 'InitializeCriticalSectionAndSpinCount', 'TlsAlloc', 'TlsGetValue', 'TlsSetValue', 'TlsFree', 'FreeLibrary', 'LoadLibraryExW', 'ExitProcess', 'GetModuleHandleExW', 'GetStdHandle', 'GetFileType', 'GetModuleFileNameW', 'WriteConsoleW', 'WriteFile', 'HeapAlloc', 'HeapFree', 'LCMapStringW', 'HeapReAlloc', 'FlushFileBuffers', 'GetConsoleOutputCP', 'GetConsoleMode', 'OutputDebugStringW', 'CloseHandle', 'GetFileSizeEx', 'SetFilePointerEx', 'FindClose', 'FindFirstFileExW', 'FindNextFileW', 'IsValidCodePage', 'GetACP', 'GetOEMCP', 'GetCPInfo', 'GetCommandLineA', 'GetCommandLineW', 'MultiByteToWideChar', 'WideCharToMultiByte', 'GetEnvironmentStringsW', 'FreeEnvironmentStringsW', 'GetProcessHeap', 'SetStdHandle', 'GetStringTypeW', 'ReadFile', 'ReadConsoleW', 'CreateFileW', 'HeapSize', 'DecodePointer']",2023-01-20,2697,3353,CobaltStrike
04193e2b9a24c7c63914d71bbff1ca8612b089750a5645caa6c143fc0a1c376d,[],[],"['CloseHandle', 'ConnectNamedPipe', 'CreateFileA', 'CreateNamedPipeA', 'CreateThread', 'DeleteCriticalSection', 'EnterCriticalSection', 'GetCurrentProcess', 'GetCurrentProcessId', 'GetCurrentThreadId', 'GetLastError', 'GetModuleHandleA', 'GetProcAddress', 'GetStartupInfoA', 'GetSystemTimeAsFileTime', 'GetTickCount', 'InitializeCriticalSection', 'LeaveCriticalSection', 'QueryPerformanceCounter', 'ReadFile', 'RtlAddFunctionTable', 'RtlLookupFunctionEntry', 'RtlVirtualUnwind', 'SetUnhandledExceptionFilter', 'Sleep', 'TerminateProcess', 'TlsGetValue', 'UnhandledExceptionFilter', 'VirtualProtect', 'VirtualQuery', 'WaitForSingleObject', 'WriteFile', '__C_specific_handler', '__getmainargs', '__iob_func', '__set_app_type', '_amsg_exit', '_cexit', '_initterm', '_onexit', 'abort', 'calloc', 'exit', 'fprintf', 'free', 'fwrite', 'malloc', 'memcpy', 'printf', 'puts', 'signal', 'sprintf', 'strlen', 'strncmp', 'vfprintf']",2023-03-07,477,502,CobaltStrike
080ee6c068e95db7a776793e167fb4bb9ad0efcb424a400ed3efe697400fc73a,[],['INDICATOR_EXE_Packed_Themida'],"['GetModuleHandleA', '__C_specific_handler']",2021-06-26,65,83,CobaltStrike
0c011bc812555a6868ede5f189cb8c7a99c2c0beaa7548a39a5e0162ef7de251,[],"['Windows_API_Function', 'Windows_API_Function', 'Cobaltbaltstrike_Beacon_Encoded', 'CobaltStrike_Resources_Template_Py_v3_3_to_v4_x', 'Windows_API_Function']","['GetModuleHandleA', '__C_specific_handler']",2023-01-08,0,0,CobaltStrike
0d032d82dec12b4c35e2724d09ef23f517ee839efd673b26a28cec732ddce343,"['T1140', 'T1620']",[],['_CorExeMain'],2022-01-29,0,0,CobaltStrike
0ffdeb5f315763a2edd720acafaa9022dba2955ec52f6ac569ce7f5feaed57a1,[],[],"['CloseHandle', 'CreateFileW', 'DeleteCriticalSection', 'EncodePointer', 'EnterCriticalSection', 'ExitProcess', 'FindClose', 'FindFirstFileExW', 'FindNextFileW', 'FindResourceA', 'FlushFileBuffers', 'FreeEnvironmentStringsW', 'FreeLibrary', 'GetACP', 'GetCPInfo', 'GetCommandLineA', 'GetCommandLineW', 'GetConsoleMode', 'GetConsoleOutputCP', 'GetCurrentProcess', 'GetCurrentProcessId', 'GetCurrentThreadId', 'GetEnvironmentStringsW', 'GetFileType', 'GetLastError', 'GetModuleFileNameW', 'GetModuleHandleExW', 'GetModuleHandleW', 'GetOEMCP', 'GetProcAddress', 'GetProcessHeap', 'GetStartupInfoW', 'GetStdHandle', 'GetStringTypeW', 'GetSystemTimeAsFileTime', 'HeapAlloc', 'HeapFree', 'HeapReAlloc', 'HeapSize', 'InitializeCriticalSectionAndSpinCount', 'InitializeSListHead', 'IsDebuggerPresent', 'IsProcessorFeaturePresent', 'IsValidCodePage', 'LCMapStringW', 'LeaveCriticalSection', 'LoadLibraryExW', 'LoadResource', 'LockResource', 'MultiByteToWideChar', 'QueryPerformanceCounter', 'RaiseException', 'RtlCaptureContext', 'RtlLookupFunctionEntry', 'RtlPcToFileHeader', 'RtlUnwindEx', 'RtlVirtualUnwind', 'SetFilePointerEx', 'SetLastError', 'SetStdHandle', 'SetUnhandledExceptionFilter', 'SizeofResource', 'TerminateProcess', 'TlsAlloc', 'TlsFree', 'TlsGetValue', 'TlsSetValue', 'UnhandledExceptionFilter', 'VirtualAlloc', 'WideCharToMultiByte', 'WriteConsoleW', 'WriteFile']",2023-02-16,13,9,CobaltStrike
18c55bf653816c7ad10210a04085658e6d7919ad041061387647bdda9549917a,[],[],"['CloseHandle', 'CreateFileW', 'DeleteCriticalSection', 'EncodePointer', 'EnterCriticalSection', 'ExitProcess', 'FindClose', 'FindFirstFileExW', 'FindNextFileW', 'FindResourceA', 'FlushFileBuffers', 'FreeEnvironmentStringsW', 'FreeLibrary', 'GetACP', 'GetCPInfo', 'GetCommandLineA', 'GetCommandLineW', 'GetConsoleMode', 'GetConsoleOutputCP', 'GetCurrentProcess', 'GetCurrentProcessId', 'GetCurrentThreadId', 'GetEnvironmentStringsW', 'GetFileType', 'GetLastError', 'GetModuleFileNameW', 'GetModuleHandleExW', 'GetModuleHandleW', 'GetOEMCP', 'GetProcAddress', 'GetProcessHeap', 'GetStartupInfoW', 'GetStdHandle', 'GetStringTypeW', 'GetSystemTimeAsFileTime', 'HeapAlloc', 'HeapFree', 'HeapReAlloc', 'HeapSize', 'InitializeCriticalSectionAndSpinCount', 'InitializeSListHead', 'IsDebuggerPresent', 'IsProcessorFeaturePresent', 'IsValidCodePage', 'LCMapStringW', 'LeaveCriticalSection', 'LoadLibraryExW', 'LoadResource', 'LockResource', 'MultiByteToWideChar', 'QueryPerformanceCounter', 'RaiseException', 'RtlCaptureContext', 'RtlLookupFunctionEntry', 'RtlPcToFileHeader', 'RtlUnwindEx', 'RtlVirtualUnwind', 'SetFilePointerEx', 'SetLastError', 'SetStdHandle', 'SetUnhandledExceptionFilter', 'SizeofResource', 'TerminateProcess', 'TlsAlloc', 'TlsFree', 'TlsGetValue', 'TlsSetValue', 'UnhandledExceptionFilter', 'VirtualAlloc', 'WideCharToMultiByte', 'WriteConsoleW', 'WriteFile']",2021-07-23,0,0,CobaltStrike
1c8de01df040c973b37ae5ce8e1bb523e1ba24a9c25263706022f9a9894a2e50,[],"['skip20_sqllang_hook', 'skip20_sqllang_hook']","['HeapQueryInformation', 'HeapSize', 'TerminateProcess', 'UnhandledExceptionFilter', 'SetUnhandledExceptionFilter', 'IsDebuggerPresent', 'RtlVirtualUnwind', 'RtlCaptureContext', 'EncodePointer', 'DecodePointer', 'FlsGetValue', 'FlsFree', 'FlsAlloc', 'GetACP', 'IsValidCodePage', 'GetStringTypeA', 'GetStringTypeW', 'LCMapStringA', 'LCMapStringW', 'GetDriveTypeA', 'SetHandleCount', 'GetStdHandle', 'GetStartupInfoA', 'FreeEnvironmentStringsA', 'FreeEnvironmentStringsW', 'GetEnvironmentStringsW', 'HeapSetInformation', 'HeapCreate', 'HeapDestroy', 'QueryPerformanceCounter', 'GetSystemTimeAsFileTime', 'InitializeCriticalSectionAndSpinCount', 'GetConsoleCP', 'GetConsoleMode', 'GetTimeZoneInformation', 'WriteConsoleA', 'GetConsoleOutputCP', 'WriteConsoleW', 'CompareStringW', 'SetEnvironmentVariableA', 'Sleep', 'GetFileType', 'SetStdHandle', 'HeapReAlloc', 'VirtualQuery', 'GetSystemInfo', 'VirtualAlloc', 'RtlPcToFileHeader', 'RaiseException', 'HeapFree', 'HeapAlloc', 'GetCommandLineA', 'FlsSetValue', 'RtlUnwindEx', 'RtlLookupFunctionEntry', 'GetTickCount', 'FindResourceExA', 'GetCurrentDirectoryA', 'WritePrivateProfileStringA', 'GetFullPathNameA', 'GetVolumeInformationA', 'GetCurrentProcess', 'DuplicateHandle', 'GetFileSize', 'SetEndOfFile', 'UnlockFile', 'LockFile', 'FlushFileBuffers', 'SetFilePointer', 'WriteFile', 'ReadFile', 'GetThreadLocale', 'GetModuleHandleW', 'GetOEMCP', 'GetCPInfo', 'GlobalFlags', 'DeleteCriticalSection', 'LocalReAlloc', 'TlsSetValue', 'GlobalHandle', 'GlobalReAlloc', 'TlsAlloc', 'InitializeCriticalSection', 'EnterCriticalSection', 'TlsGetValue', 'LeaveCriticalSection', 'LocalAlloc', 'GetFileTime', 'GetFileSizeEx', 'CreateFileA', 'VirtualProtect', 'CloseHandle', 'GetCurrentThread', 'ConvertDefaultLocale', 'EnumResourceLanguagesA', 'GetLocaleInfoA', 'FindFirstFileA', 'FileTimeToLocalFileTime', 'FileTimeToSystemTime', 'FindNextFileA', 'FindClose', 'GetCurrentProcessId', 'lstrcmpA', 'GlobalFree', 'GlobalAlloc', 'GlobalLock', 'GlobalUnlock', 'FormatMessageA', 'LocalFree', 'MulDiv', 'FreeResource', 'GetCurrentThreadId', 'GlobalGetAtomNameA', 'GlobalAddAtomA', 'GlobalFindAtomA', 'GlobalDeleteAtom', 'FreeLibrary', 'CompareStringA', 'LoadLibraryA', 'GetLastError', 'SetLastError', 'lstrcmpW', 'GetModuleHandleA', 'GetVersionExA', 'GetModuleFileNameA', 'ExitProcess', 'LoadLibraryW', 'GetProcAddress', 'GetFileAttributesA', 'lstrlenA', 'MultiByteToWideChar', 'WideCharToMultiByte', 'FindResourceA', 'LoadResource', 'LockResource', 'GetEnvironmentStrings', 'SizeofResource', 'PostThreadMessageA', 'CopyAcceleratorTableA', 'CharNextA', 'CharUpperA', 'GetSysColorBrush', 'DestroyMenu', 'SetWindowContextHelpId', 'MapDialogRect', 'GetAsyncKeyState', 'GetMessageA', 'TranslateMessage', 'ValidateRect', 'PostQuitMessage', 'GetWindowThreadProcessId', 'WindowFromPoint', 'EndPaint', 'BeginPaint', 'GetWindowDC', 'GrayStringA', 'DrawTextExA', 'TabbedTextOutA', 'GetDesktopWindow', 'GetActiveWindow', 'CreateDialogIndirectParamA', 'GetNextDlgTabItem', 'EndDialog', 'IsWindowEnabled', 'ShowWindow', 'MoveWindow', 'SetWindowTextA', 'IsDialogMessageA', 'SetMenuItemBitmaps', 'GetMenuCheckMarkDimensions', 'LoadBitmapA', 'ModifyMenuA', 'GetMenuState', 'CheckMenuItem', 'RegisterWindowMessageA', 'LoadIconA', 'RegisterClipboardFormatA', 'WinHelpA', 'IsChild', 'SetWindowsHookExA', 'CallNextHookEx', 'GetClassLongA', 'GetClassNameA', 'GetClassLongPtrA', 'SetPropA', 'GetPropA', 'RemovePropA', 'SetFocus', 'GetWindowTextLengthA', 'GetWindowTextA', 'GetForegroundWindow', 'GetLastActivePopup', 'SetActiveWindow', 'DispatchMessageA', 'GetDlgItem', 'GetTopWindow', 'DestroyWindow', 'GetWindowLongPtrA', 'SetWindowLongPtrA', 'UnhookWindowsHookEx', 'GetMessageTime', 'GetMessagePos', 'PeekMessageA', 'MapWindowPoints', 'TrackPopupMenu', 'SetMenu', 'SetScrollPos', 'GetScrollPos', 'SetForegroundWindow', 'IsWindowVisible', 'UpdateWindow', 'GetMenuItemID', 'GetMenuItemCount', 'MessageBoxA', 'CreateWindowExA', 'GetClassInfoExA', 'RegisterClassA', 'AdjustWindowRectEx', 'ScreenToClient', 'EqualRect', 'EnableMenuItem', 'InsertMenuA', 'EnableWindow', 'IsWindow', 'SetScrollInfo', 'GetDlgCtrlID', 'CallWindowProcA', 'GetMenu', 'GetWindowLongA', 'SetWindowLongA', 'SetWindowPos', 'IntersectRect', 'SystemParametersInfoA', 'IsIconic', 'MessageBeep', 'GetNextDlgGroupItem', 'InvalidateRgn', 'InvalidateRect', 'SetRect', 'SendDlgItemMessageA', 'IsRectEmpty', 'PtInRect', 'SetRectEmpty', 'OffsetRect', 'CopyRect', 'FillRect', 'DrawEdge', 'SendMessageA', 'GetWindowRect', 'GetClientRect', 'ClientToScreen', 'RedrawWindow', 'GetCapture', 'SetCapture', 'GetFocus', 'GetParent', 'GetSysColor', 'SetCursor', 'LoadCursorA', 'ReleaseCapture', 'GetKeyState', 'DrawTextA', 'PostMessageA', 'GetDC', 'ReleaseDC', 'DefWindowProcA', 'GetClassInfoA', 'GetSubMenu', 'LoadMenuA', 'GetCursorPos', 'LoadImageA', 'DestroyIcon', 'GetIconInfo', 'CopyImage', 'DrawIconEx', 'CreateIconIndirect', 'GetWindow', 'GetSystemMetrics', 'GetWindowPlacement', 'GetViewportExtEx', 'PtVisible', 'RectVisible', 'TextOutA', 'ExtTextOutA', 'Escape', 'SetViewportOrgEx', 'OffsetViewportOrgEx', 'SetViewportExtEx', 'ScaleViewportExtEx', 'SetWindowExtEx', 'ScaleWindowExtEx', 'ExtSelectClipRgn', 'DeleteDC', 'GetStockObject', 'CreateFontIndirectA', 'CreateRectRgnIndirect', 'GetMapMode', 'EnumFontFamiliesExA', 'GetBkColor', 'GetTextColor', 'GetRgnBox', 'SelectClipRgn', 'MoveToEx', 'LineTo', 'CreateCompatibleBitmap', 'SetStretchBltMode', 'RestoreDC', 'SaveDC', 'GetDeviceCaps', 'SetBkColor', 'SetTextColor', 'GetClipBox', 'GetDIBColorTable', 'SetDIBColorTable', 'GetDIBits', 'SetDIBits', 'CreateDIBSection', 'CreateSolidBrush', 'GetCurrentObject', 'GetPixel', 'StretchBlt', 'CreateRectRgn', 'CreateBitmap', 'UnrealizeObject', 'GetObjectA', 'LPtoDP', 'GetTextMetricsA', 'DPtoLP', 'GetWindowExtEx', 'SelectObject', 'CreatePen', 'DeleteObject', 'SetPixelV', 'BitBlt', 'Rectangle', 'Ellipse', 'SetBrushOrgEx', 'GetBrushOrgEx', 'CreateCompatibleDC', 'SetMapMode', 'GetFileTitleA', 'DocumentPropertiesA', 'ClosePrinter', 'OpenPrinterA', 'RegSetValueExA', 'RegCreateKeyExA', 'RegQueryValueA', 'RegOpenKeyA', 'RegEnumKeyA', 'RegDeleteKeyA', 'RegOpenKeyExA', 'RegQueryValueExA', 'RegCloseKey', 'SHGetPathFromIDListA', 'SHBrowseForFolderA', 'DragFinish', 'DragQueryFileA', 'SHGetMalloc', 'PathFindExtensionA', 'PathFindFileNameA', 'PathStripToRootA', 'PathRemoveFileSpecW', 'PathIsUNCA', 'Ordinal_8', 'CoRevokeClassObject', 'OleInitialize', 'CoFreeUnusedLibraries', 'OleUninitialize', 'CreateILockBytesOnHGlobal', 'StgCreateDocfileOnILockBytes', 'StgOpenStorageOnILockBytes', 'CoGetClassObject', 'CLSIDFromString', 'CLSIDFromProgID', 'OleIsCurrentClipboard', 'CoTaskMemAlloc', 'CoTaskMemFree', 'CoInitialize', 'CoCreateInstance', 'CoUninitialize', 'OleFlushClipboard', 'CoRegisterMessageFilter', 'CoInitializeEx', 'Ordinal_9', 'Ordinal_12', 'Ordinal_8', 'Ordinal_4', 'Ordinal_7', 'Ordinal_6', 'Ordinal_150', 'Ordinal_10', 'Ordinal_16', 'Ordinal_185', 'Ordinal_184', 'Ordinal_420', 'Ordinal_2', 'LresultFromObject', 'CreateStdAccessibleObject']",2021-03-16,0,0,CobaltStrike
