Hash,TTP List,YARA List,API List,First Time Submission,Number of Nodes,Number of Edges,Type of C2
0418952a347d2d4b40055f197622fb0fd87ac782477cfd354ee030cbe8c56844,[],[],"['WriteFile', 'WriteConsoleW', 'WaitForMultipleObjects', 'WaitForSingleObject', 'VirtualQuery', 'VirtualFree', 'VirtualAlloc', 'SwitchToThread', 'SuspendThread', 'SetWaitableTimer', 'SetUnhandledExceptionFilter', 'SetProcessPriorityBoost', 'SetEvent', 'SetErrorMode', 'SetConsoleCtrlHandler', 'ResumeThread', 'PostQueuedCompletionStatus', 'LoadLibraryA', 'LoadLibraryW', 'SetThreadContext', 'GetThreadContext', 'GetSystemInfo', 'GetSystemDirectoryA', 'GetStdHandle', 'GetQueuedCompletionStatus', 'GetProcessAffinityMask', 'GetProcAddress', 'GetEnvironmentStringsW', 'GetConsoleMode', 'FreeEnvironmentStringsW', 'ExitProcess', 'DuplicateHandle', 'CreateThread', 'CreateIoCompletionPort', 'CreateEventA', 'CloseHandle', 'AddVectoredExceptionHandler']",2021-08-23,46471,58493,Deimos
21827cb6d8409ddea5097384d86f3004f5ec4ebe387a9340d8f3443598bdd2af,[],[],"['WriteFile', 'WriteConsoleW', 'WaitForMultipleObjects', 'WaitForSingleObject', 'VirtualQuery', 'VirtualFree', 'VirtualAlloc', 'SwitchToThread', 'SuspendThread', 'SetWaitableTimer', 'SetUnhandledExceptionFilter', 'SetProcessPriorityBoost', 'SetEvent', 'SetErrorMode', 'SetConsoleCtrlHandler', 'ResumeThread', 'PostQueuedCompletionStatus', 'LoadLibraryA', 'LoadLibraryW', 'SetThreadContext', 'GetThreadContext', 'GetSystemInfo', 'GetSystemDirectoryA', 'GetStdHandle', 'GetQueuedCompletionStatus', 'GetProcessAffinityMask', 'GetProcAddress', 'GetEnvironmentStringsW', 'GetConsoleMode', 'FreeEnvironmentStringsW', 'ExitProcess', 'DuplicateHandle', 'CreateThread', 'CreateIoCompletionPort', 'CreateEventA', 'CloseHandle', 'AddVectoredExceptionHandler']",2022-03-02,0,0,Deimos
29305f74260d56f94a80d514505dbef949b0e6fae7989a9cd84e956ec4f6cffe,[],[],"['WriteFile', 'WriteConsoleW', 'WaitForMultipleObjects', 'WaitForSingleObject', 'VirtualQuery', 'VirtualFree', 'VirtualAlloc', 'SwitchToThread', 'SuspendThread', 'SetWaitableTimer', 'SetUnhandledExceptionFilter', 'SetProcessPriorityBoost', 'SetEvent', 'SetErrorMode', 'SetConsoleCtrlHandler', 'ResumeThread', 'PostQueuedCompletionStatus', 'LoadLibraryA', 'LoadLibraryW', 'SetThreadContext', 'GetThreadContext', 'GetSystemInfo', 'GetSystemDirectoryA', 'GetStdHandle', 'GetQueuedCompletionStatus', 'GetProcessAffinityMask', 'GetProcAddress', 'GetEnvironmentStringsW', 'GetConsoleMode', 'FreeEnvironmentStringsW', 'ExitProcess', 'DuplicateHandle', 'CreateThread', 'CreateIoCompletionPort', 'CreateEventA', 'CloseHandle', 'AddVectoredExceptionHandler']",2021-12-04,0,0,Deimos
325f216d2297ca37dcbd050e3a9c34229e47f5dce30f7f6442d4b20ff7940f5b,[],[],"['WriteFile', 'WriteConsoleW', 'WaitForMultipleObjects', 'WaitForSingleObject', 'VirtualQuery', 'VirtualFree', 'VirtualAlloc', 'SwitchToThread', 'SuspendThread', 'SetWaitableTimer', 'SetUnhandledExceptionFilter', 'SetProcessPriorityBoost', 'SetEvent', 'SetErrorMode', 'SetConsoleCtrlHandler', 'ResumeThread', 'PostQueuedCompletionStatus', 'LoadLibraryA', 'LoadLibraryW', 'SetThreadContext', 'GetThreadContext', 'GetSystemInfo', 'GetSystemDirectoryA', 'GetStdHandle', 'GetQueuedCompletionStatus', 'GetProcessAffinityMask', 'GetProcAddress', 'GetEnvironmentStringsW', 'GetConsoleMode', 'FreeEnvironmentStringsW', 'ExitProcess', 'DuplicateHandle', 'CreateThread', 'CreateIoCompletionPort', 'CreateEventA', 'CloseHandle', 'AddVectoredExceptionHandler']",2022-07-08,0,0,Deimos
439b072b6da250440d70d0e959959973af6077c46bf6ffedd0b38343291eb40e,[],['SUSP_GObfuscate_May21'],"['WriteFile', 'WriteConsoleW', 'WaitForMultipleObjects', 'WaitForSingleObject', 'VirtualQuery', 'VirtualFree', 'VirtualAlloc', 'SwitchToThread', 'SuspendThread', 'SetWaitableTimer', 'SetUnhandledExceptionFilter', 'SetProcessPriorityBoost', 'SetEvent', 'SetErrorMode', 'SetConsoleCtrlHandler', 'ResumeThread', 'PostQueuedCompletionStatus', 'LoadLibraryA', 'LoadLibraryW', 'SetThreadContext', 'GetThreadContext', 'GetSystemInfo', 'GetSystemDirectoryA', 'GetStdHandle', 'GetQueuedCompletionStatus', 'GetProcessAffinityMask', 'GetProcAddress', 'GetEnvironmentStringsW', 'GetConsoleMode', 'FreeEnvironmentStringsW', 'ExitProcess', 'DuplicateHandle', 'CreateThread', 'CreateIoCompletionPort', 'CreateEventA', 'CloseHandle', 'AddVectoredExceptionHandler']",2021-08-23,46482,58499,Deimos
4f069ec1dc6e88a2b4e1c50a8dda6a7935f91424724499b41ff1c3a9f87b143c,[],['SUSP_GObfuscate_May21'],"['WriteFile', 'WriteConsoleW', 'WaitForMultipleObjects', 'WaitForSingleObject', 'VirtualQuery', 'VirtualFree', 'VirtualAlloc', 'SwitchToThread', 'SuspendThread', 'SetWaitableTimer', 'SetUnhandledExceptionFilter', 'SetProcessPriorityBoost', 'SetEvent', 'SetErrorMode', 'SetConsoleCtrlHandler', 'ResumeThread', 'PostQueuedCompletionStatus', 'LoadLibraryA', 'LoadLibraryW', 'SetThreadContext', 'GetThreadContext', 'GetSystemInfo', 'GetSystemDirectoryA', 'GetStdHandle', 'GetQueuedCompletionStatus', 'GetProcessAffinityMask', 'GetProcAddress', 'GetEnvironmentStringsW', 'GetConsoleMode', 'FreeEnvironmentStringsW', 'ExitProcess', 'DuplicateHandle', 'CreateThread', 'CreateIoCompletionPort', 'CreateEventA', 'CloseHandle', 'AddVectoredExceptionHandler']",2022-07-08,43884,54911,Deimos
6f3394a5980ddbc28c7e889c636cddabd48a710588a5c10427d10a19d07b1c0a,[],[],"['WriteFile', 'WriteConsoleW', 'WaitForMultipleObjects', 'WaitForSingleObject', 'VirtualQuery', 'VirtualFree', 'VirtualAlloc', 'SwitchToThread', 'SuspendThread', 'SetWaitableTimer', 'SetUnhandledExceptionFilter', 'SetProcessPriorityBoost', 'SetEvent', 'SetErrorMode', 'SetConsoleCtrlHandler', 'ResumeThread', 'PostQueuedCompletionStatus', 'LoadLibraryA', 'LoadLibraryW', 'SetThreadContext', 'GetThreadContext', 'GetSystemInfo', 'GetSystemDirectoryA', 'GetStdHandle', 'GetQueuedCompletionStatus', 'GetProcessAffinityMask', 'GetProcAddress', 'GetEnvironmentStringsW', 'GetConsoleMode', 'FreeEnvironmentStringsW', 'ExitProcess', 'DuplicateHandle', 'CreateThread', 'CreateIoCompletionPort', 'CreateEventA', 'CloseHandle', 'AddVectoredExceptionHandler']",2021-12-04,0,0,Deimos
73a190b1b44b5fb8f9e92121d006978f30a20ac109e6b0f760e7930a48a1742a,[],[],"['WriteFile', 'WriteConsoleW', 'WaitForMultipleObjects', 'WaitForSingleObject', 'VirtualQuery', 'VirtualFree', 'VirtualAlloc', 'SwitchToThread', 'SuspendThread', 'SetWaitableTimer', 'SetUnhandledExceptionFilter', 'SetProcessPriorityBoost', 'SetEvent', 'SetErrorMode', 'SetConsoleCtrlHandler', 'ResumeThread', 'PostQueuedCompletionStatus', 'LoadLibraryA', 'LoadLibraryW', 'SetThreadContext', 'GetThreadContext', 'GetSystemInfo', 'GetSystemDirectoryA', 'GetStdHandle', 'GetQueuedCompletionStatus', 'GetProcessAffinityMask', 'GetProcAddress', 'GetEnvironmentStringsW', 'GetConsoleMode', 'FreeEnvironmentStringsW', 'ExitProcess', 'DuplicateHandle', 'CreateThread', 'CreateIoCompletionPort', 'CreateEventA', 'CloseHandle', 'AddVectoredExceptionHandler']",2022-01-07,0,0,Deimos
7bec7b246c7ba157f16dde3cee2225c1066bac706aa3113031df351a75c22239,[],['SUSP_GObfuscate_May21'],"['WriteFile', 'WriteConsoleW', 'WaitForMultipleObjects', 'WaitForSingleObject', 'VirtualQuery', 'VirtualFree', 'VirtualAlloc', 'SwitchToThread', 'SuspendThread', 'SetWaitableTimer', 'SetUnhandledExceptionFilter', 'SetProcessPriorityBoost', 'SetEvent', 'SetErrorMode', 'SetConsoleCtrlHandler', 'ResumeThread', 'PostQueuedCompletionStatus', 'LoadLibraryA', 'LoadLibraryW', 'SetThreadContext', 'GetThreadContext', 'GetSystemInfo', 'GetSystemDirectoryA', 'GetStdHandle', 'GetQueuedCompletionStatus', 'GetProcessAffinityMask', 'GetProcAddress', 'GetEnvironmentStringsW', 'GetConsoleMode', 'FreeEnvironmentStringsW', 'ExitProcess', 'DuplicateHandle', 'CreateThread', 'CreateIoCompletionPort', 'CreateEventA', 'CloseHandle', 'AddVectoredExceptionHandler']",2022-02-23,43889,54915,Deimos
8c6ab7a051eedf9f119778bdc71cd96a40f52101657881e84262237083ba4a51,[],[],"['WriteFile', 'WriteConsoleW', 'WaitForMultipleObjects', 'WaitForSingleObject', 'VirtualQuery', 'VirtualFree', 'VirtualAlloc', 'SwitchToThread', 'SuspendThread', 'SetWaitableTimer', 'SetUnhandledExceptionFilter', 'SetProcessPriorityBoost', 'SetEvent', 'SetErrorMode', 'SetConsoleCtrlHandler', 'ResumeThread', 'PostQueuedCompletionStatus', 'LoadLibraryA', 'LoadLibraryW', 'SetThreadContext', 'GetThreadContext', 'GetSystemInfo', 'GetSystemDirectoryA', 'GetStdHandle', 'GetQueuedCompletionStatus', 'GetProcessAffinityMask', 'GetProcAddress', 'GetEnvironmentStringsW', 'GetConsoleMode', 'FreeEnvironmentStringsW', 'ExitProcess', 'DuplicateHandle', 'CreateThread', 'CreateIoCompletionPort', 'CreateEventA', 'CloseHandle', 'AddVectoredExceptionHandler']",2020-12-17,0,0,Deimos
