Function,DLL,Occurence,Family,Associated
CloseHandle,KERNEL32,30,"{""cobaltstrike"": 20, ""rozena"": 4, ""shlem"": 3, ""shelma"": 1, ""jobutyve"": 1, ""shellcoderunner"": 1}",
ConnectNamedPipe,KERNEL32,5,"{""cobaltstrike"": 5}",Helper
CreateFileA,KERNEL32,14,"{""cobaltstrike"": 10, ""rozena"": 3, ""shelma"": 1}",Helper
CreateNamedPipeA,KERNEL32,5,"{""cobaltstrike"": 5}",
CreateThread,KERNEL32,22,"{""cobaltstrike"": 15, ""rozena"": 3, ""shelma"": 1, ""shlem"": 2, ""jobutyve"": 1}",Injection
DeleteCriticalSection,KERNEL32,25,"{""cobaltstrike"": 17, ""shlem"": 3, ""shelma"": 1, ""rozena"": 2, ""jobutyve"": 1, ""shellcoderunner"": 1}",
EnterCriticalSection,KERNEL32,25,"{""cobaltstrike"": 17, ""shlem"": 3, ""shelma"": 1, ""rozena"": 2, ""jobutyve"": 1, ""shellcoderunner"": 1}",
FreeLibrary,KERNEL32,20,"{""cobaltstrike"": 14, ""shlem"": 3, ""shelma"": 1, ""jobutyve"": 1, ""shellcoderunner"": 1}",
GetCurrentProcess,KERNEL32,28,"{""cobaltstrike"": 20, ""shlem"": 3, ""shelma"": 1, ""rozena"": 2, ""jobutyve"": 1, ""shellcoderunner"": 1}",Enumeration
GetCurrentProcessId,KERNEL32,24,"{""cobaltstrike"": 17, ""shlem"": 2, ""shelma"": 1, ""rozena"": 2, ""jobutyve"": 1, ""shellcoderunner"": 1}",Enumeration
GetCurrentThreadId,KERNEL32,28,"{""cobaltstrike"": 20, ""shlem"": 3, ""shelma"": 1, ""rozena"": 2, ""jobutyve"": 1, ""shellcoderunner"": 1}",Enumeration
GetLastError,KERNEL32,26,"{""cobaltstrike"": 18, ""shlem"": 3, ""shelma"": 1, ""rozena"": 2, ""jobutyve"": 1, ""shellcoderunner"": 1}",
GetModuleHandleA,KERNEL32,15,"{""cobaltstrike"": 12, ""rozena"": 1, ""jobutyve"": 1, ""shellcoderunner"": 1}",Evasion
GetProcAddress,KERNEL32,31,"{""cobaltstrike"": 21, ""rozena"": 4, ""shlem"": 3, ""shelma"": 1, ""jobutyve"": 1, ""shellcoderunner"": 1}",Evasion
GetStartupInfoA,KERNEL32,11,"{""cobaltstrike"": 9, ""rozena"": 2}",
GetSystemTimeAsFileTime,KERNEL32,24,"{""cobaltstrike"": 17, ""shlem"": 2, ""shelma"": 1, ""rozena"": 2, ""jobutyve"": 1, ""shellcoderunner"": 1}",Anti-Debugging
GetTickCount,KERNEL32,16,"{""cobaltstrike"": 12, ""shlem"": 2, ""rozena"": 2}",Anti-Debugging
InitializeCriticalSection,KERNEL32,15,"{""cobaltstrike"": 11, ""shlem"": 2, ""rozena"": 2}",
LeaveCriticalSection,KERNEL32,25,"{""cobaltstrike"": 17, ""shlem"": 3, ""shelma"": 1, ""rozena"": 2, ""jobutyve"": 1, ""shellcoderunner"": 1}",
LoadLibraryA,KERNEL32,18,"{""cobaltstrike"": 14, ""rozena"": 3, ""shlem"": 1}",Evasion
LoadLibraryW,KERNEL32,13,"{""cobaltstrike"": 8, ""rozena"": 3, ""shlem"": 2}",
QueryPerformanceCounter,KERNEL32,26,"{""cobaltstrike"": 18, ""shlem"": 3, ""shelma"": 1, ""rozena"": 2, ""jobutyve"": 1, ""shellcoderunner"": 1}",Anti-Debugging
ReadFile,KERNEL32,16,"{""cobaltstrike"": 12, ""shlem"": 2, ""shelma"": 1, ""rozena"": 1}",Enumeration
SetUnhandledExceptionFilter,KERNEL32,30,"{""cobaltstrike"": 21, ""rozena"": 4, ""shlem"": 2, ""shelma"": 1, ""jobutyve"": 1, ""shellcoderunner"": 1}",
Sleep,KERNEL32,23,"{""cobaltstrike"": 16, ""shlem"": 3, ""shelma"": 1, ""rozena"": 2, ""shellcoderunner"": 1}",Anti-Debugging
TerminateProcess,KERNEL32,23,"{""cobaltstrike"": 17, ""shlem"": 2, ""shelma"": 1, ""rozena"": 1, ""jobutyve"": 1, ""shellcoderunner"": 1}",Helper
TlsGetValue,KERNEL32,25,"{""cobaltstrike"": 18, ""shlem"": 3, ""rozena"": 2, ""jobutyve"": 1, ""shellcoderunner"": 1}",
UnhandledExceptionFilter,KERNEL32,26,"{""cobaltstrike"": 19, ""shlem"": 3, ""shelma"": 1, ""rozena"": 1, ""jobutyve"": 1, ""shellcoderunner"": 1}",
VirtualAlloc,KERNEL32,17,"{""cobaltstrike"": 12, ""rozena"": 3, ""shlem"": 1, ""jobutyve"": 1}",Injection
VirtualProtect,KERNEL32,15,"{""cobaltstrike"": 10, ""shlem"": 2, ""rozena"": 2, ""jobutyve"": 1}",Injection
VirtualQuery,KERNEL32,18,"{""cobaltstrike"": 11, ""rozena"": 4, ""shlem"": 2, ""jobutyve"": 1}",
WriteFile,KERNEL32,25,"{""cobaltstrike"": 17, ""rozena"": 3, ""shlem"": 3, ""jobutyve"": 1, ""shellcoderunner"": 1}",Helper
__dllonexit,MSVCRT,3,"{""cobaltstrike"": 3}",
__getmainargs,MSVCRT,10,"{""cobaltstrike"": 8, ""rozena"": 2}",
__set_app_type,MSVCRT,11,"{""cobaltstrike"": 8, ""shelma"": 1, ""rozena"": 2}",
_amsg_exit,MSVCRT,11,"{""cobaltstrike"": 8, ""shelma"": 1, ""rozena"": 2}",
_cexit,MSVCRT,14,"{""cobaltstrike"": 12, ""rozena"": 2}",
_initterm,MSVCRT,15,"{""cobaltstrike"": 12, ""shelma"": 1, ""rozena"": 2}",
_lock,MSVCRT,3,"{""cobaltstrike"": 3}",
_onexit,MSVCRT,10,"{""cobaltstrike"": 8, ""rozena"": 2}",
_unlock,MSVCRT,3,"{""cobaltstrike"": 3}",
abort,MSVCRT,10,"{""cobaltstrike"": 8, ""rozena"": 2}",
calloc,MSVCRT,11,"{""cobaltstrike"": 8, ""shelma"": 1, ""rozena"": 2}",
exit,MSVCRT,14,"{""cobaltstrike"": 12, ""rozena"": 2}",
fprintf,MSVCRT,10,"{""cobaltstrike"": 8, ""rozena"": 2}",
free,MSVCRT,15,"{""cobaltstrike"": 12, ""shelma"": 1, ""rozena"": 2}",
fwrite,MSVCRT,11,"{""cobaltstrike"": 9, ""rozena"": 2}",
malloc,MSVCRT,14,"{""cobaltstrike"": 11, ""shelma"": 1, ""rozena"": 2}",
memcpy,MSVCRT,15,"{""cobaltstrike"": 12, ""shelma"": 1, ""rozena"": 2}",
signal,MSVCRT,11,"{""cobaltstrike"": 9, ""rozena"": 2}",
