Function,DLL,Occurence,Family,Associated
_CorExeMain,MSCOREE,1,"{""msilzilla"": 1}",
ReadFile,KERNEL32,14,"{""rozena"": 9, ""shelma"": 5}",Enumeration
SizeofResource,KERNEL32,4,"{""rozena"": 4}",
WriteFile,KERNEL32,16,"{""rozena"": 10, ""shelma"": 5, ""shelm"": 1}",Helper
VirtualAlloc,KERNEL32,18,"{""rozena"": 16, ""shelm"": 1, ""cobaltstrike"": 1}",Injection
CreateFileW,KERNEL32,11,"{""rozena"": 6, ""shelma"": 5}",
FreeResource,KERNEL32,1,"{""rozena"": 1}",
Sleep,KERNEL32,16,"{""rozena"": 15, ""shelma"": 1}",Anti-Debugging
GetLastError,KERNEL32,21,"{""rozena"": 16, ""shelma"": 5}",
CreateFileA,KERNEL32,8,"{""rozena"": 7, ""shelm"": 1}",Helper
LockResource,KERNEL32,4,"{""rozena"": 4}",Helper
DeleteFileW,KERNEL32,9,"{""rozena"": 4, ""shelma"": 5}",
CloseHandle,KERNEL32,16,"{""rozena"": 10, ""shelma"": 5, ""shelm"": 1}",
LoadResource,KERNEL32,4,"{""rozena"": 4}",Evasion
FindResourceW,KERNEL32,4,"{""rozena"": 4}",
GetCurrentDirectoryW,KERNEL32,5,"{""rozena"": 4, ""shelma"": 1}",
GetFileSize,KERNEL32,4,"{""rozena"": 4}",
WriteConsoleW,KERNEL32,15,"{""rozena"": 9, ""shelma"": 5, ""shelm"": 1}",
SetEndOfFile,KERNEL32,14,"{""rozena"": 9, ""shelma"": 5}",
HeapReAlloc,KERNEL32,14,"{""rozena"": 9, ""shelma"": 5}",Injection
HeapSize,KERNEL32,14,"{""rozena"": 9, ""shelma"": 5}",
FlushFileBuffers,KERNEL32,14,"{""rozena"": 9, ""shelma"": 5}",
UnhandledExceptionFilter,KERNEL32,15,"{""rozena"": 9, ""shelma"": 5, ""cobaltstrike"": 1}",
SetUnhandledExceptionFilter,KERNEL32,22,"{""rozena"": 15, ""shelma"": 5, ""shelm"": 1, ""cobaltstrike"": 1}",
GetCurrentProcess,KERNEL32,22,"{""rozena"": 16, ""shelma"": 5, ""cobaltstrike"": 1}",Enumeration
TerminateProcess,KERNEL32,16,"{""rozena"": 10, ""shelma"": 5, ""cobaltstrike"": 1}",Helper
IsProcessorFeaturePresent,KERNEL32,11,"{""rozena"": 5, ""shelma"": 5, ""cobaltstrike"": 1}",
QueryPerformanceCounter,KERNEL32,15,"{""rozena"": 9, ""shelma"": 5, ""cobaltstrike"": 1}",Anti-Debugging
GetCurrentProcessId,KERNEL32,15,"{""rozena"": 9, ""shelma"": 5, ""cobaltstrike"": 1}",Enumeration
GetCurrentThreadId,KERNEL32,15,"{""rozena"": 9, ""shelma"": 5, ""cobaltstrike"": 1}",Enumeration
GetSystemTimeAsFileTime,KERNEL32,16,"{""rozena"": 10, ""shelma"": 5, ""cobaltstrike"": 1}",Anti-Debugging
InitializeSListHead,KERNEL32,8,"{""rozena"": 2, ""shelma"": 5, ""cobaltstrike"": 1}",
IsDebuggerPresent,KERNEL32,15,"{""rozena"": 9, ""shelma"": 5, ""cobaltstrike"": 1}",Anti-Debugging
GetStartupInfoW,KERNEL32,10,"{""rozena"": 5, ""shelma"": 5}",
GetModuleHandleW,KERNEL32,16,"{""rozena"": 11, ""shelma"": 5}",
RtlUnwind,KERNEL32,9,"{""rozena"": 9}",
RaiseException,KERNEL32,14,"{""rozena"": 9, ""shelma"": 5}",
SetLastError,KERNEL32,15,"{""rozena"": 10, ""shelma"": 5}",
EncodePointer,KERNEL32,9,"{""rozena"": 4, ""shelma"": 5}",
EnterCriticalSection,KERNEL32,21,"{""rozena"": 16, ""shelma"": 5}",
LeaveCriticalSection,KERNEL32,21,"{""rozena"": 16, ""shelma"": 5}",
DeleteCriticalSection,KERNEL32,21,"{""rozena"": 16, ""shelma"": 5}",
InitializeCriticalSectionAndSpinCount,KERNEL32,14,"{""rozena"": 9, ""shelma"": 5}",
TlsAlloc,KERNEL32,16,"{""rozena"": 10, ""shelma"": 5, ""shelm"": 1}",
TlsGetValue,KERNEL32,20,"{""rozena"": 15, ""shelma"": 5}",
TlsSetValue,KERNEL32,14,"{""rozena"": 9, ""shelma"": 5}",
TlsFree,KERNEL32,15,"{""rozena"": 10, ""shelma"": 5}",
FreeLibrary,KERNEL32,20,"{""rozena"": 15, ""shelma"": 5}",
GetProcAddress,KERNEL32,22,"{""rozena"": 16, ""shelma"": 5, ""shelm"": 1}",Evasion
LoadLibraryExW,KERNEL32,10,"{""rozena"": 5, ""shelma"": 5}",
GetStdHandle,KERNEL32,15,"{""rozena"": 9, ""shelma"": 5, ""shelm"": 1}",
GetModuleFileNameW,KERNEL32,9,"{""rozena"": 4, ""shelma"": 5}",
ExitProcess,KERNEL32,16,"{""rozena"": 10, ""shelma"": 5, ""shelm"": 1}",
GetModuleHandleExW,KERNEL32,10,"{""rozena"": 5, ""shelma"": 5}",
GetCommandLineA,KERNEL32,11,"{""rozena"": 6, ""shelma"": 5}",
GetCommandLineW,KERNEL32,15,"{""rozena"": 10, ""shelma"": 5}",
HeapAlloc,KERNEL32,14,"{""rozena"": 9, ""shelma"": 5}",Injection
HeapFree,KERNEL32,14,"{""rozena"": 9, ""shelma"": 5}",
CompareStringW,KERNEL32,9,"{""rozena"": 8, ""shelma"": 1}",
LCMapStringW,KERNEL32,14,"{""rozena"": 9, ""shelma"": 5}",
GetFileType,KERNEL32,15,"{""rozena"": 10, ""shelma"": 5}",
GetConsoleOutputCP,KERNEL32,6,"{""rozena"": 5, ""shelma"": 1}",
GetConsoleMode,KERNEL32,15,"{""rozena"": 9, ""shelma"": 5, ""shelm"": 1}",
GetFileSizeEx,KERNEL32,9,"{""rozena"": 4, ""shelma"": 5}",
SetFilePointerEx,KERNEL32,10,"{""rozena"": 5, ""shelma"": 5}",
ReadConsoleW,KERNEL32,5,"{""rozena"": 4, ""shelma"": 1}",
FindClose,KERNEL32,10,"{""rozena"": 5, ""shelma"": 5}",Helper
FindFirstFileExW,KERNEL32,6,"{""rozena"": 1, ""shelma"": 5}",
FindNextFileW,KERNEL32,9,"{""rozena"": 4, ""shelma"": 5}",
IsValidCodePage,KERNEL32,14,"{""rozena"": 9, ""shelma"": 5}",
GetACP,KERNEL32,14,"{""rozena"": 9, ""shelma"": 5}",
GetOEMCP,KERNEL32,14,"{""rozena"": 9, ""shelma"": 5}",
GetCPInfo,KERNEL32,14,"{""rozena"": 9, ""shelma"": 5}",
MultiByteToWideChar,KERNEL32,16,"{""rozena"": 11, ""shelma"": 5}",
WideCharToMultiByte,KERNEL32,16,"{""rozena"": 11, ""shelma"": 5}",
GetEnvironmentStringsW,KERNEL32,16,"{""rozena"": 10, ""shelma"": 5, ""shelm"": 1}",
FreeEnvironmentStringsW,KERNEL32,16,"{""rozena"": 10, ""shelma"": 5, ""shelm"": 1}",
SetEnvironmentVariableW,KERNEL32,5,"{""rozena"": 4, ""shelma"": 1}",
SetStdHandle,KERNEL32,15,"{""rozena"": 10, ""shelma"": 5}",
GetStringTypeW,KERNEL32,14,"{""rozena"": 9, ""shelma"": 5}",
GetProcessHeap,KERNEL32,14,"{""rozena"": 9, ""shelma"": 5}",Injection
DecodePointer,KERNEL32,9,"{""rozena"": 5, ""shelma"": 4}",
MessageBoxW,USER32,5,"{""rozena"": 4, ""shelma"": 1}",
ShellExecuteW,SHELL32,4,"{""rozena"": 4}",
CreateWindowExW,USER32,4,"{""shelma"": 1, ""rozena"": 3}",
MessageBoxA,USER32,5,"{""shelma"": 1, ""rozena"": 4}",
SystemParametersInfoW,USER32,1,"{""shelma"": 1}",
DestroyIcon,USER32,8,"{""shelma"": 1, ""rozena"": 7}",
SetWindowLongPtrW,USER32,1,"{""shelma"": 1}",
GetWindowLongPtrW,USER32,1,"{""shelma"": 1}",
GetClientRect,USER32,8,"{""shelma"": 1, ""rozena"": 7}",
InvalidateRect,USER32,8,"{""shelma"": 1, ""rozena"": 7}",
ReleaseDC,USER32,8,"{""shelma"": 1, ""rozena"": 7}",
GetDC,USER32,8,"{""shelma"": 1, ""rozena"": 7}",Spying
DrawTextW,USER32,4,"{""shelma"": 1, ""rozena"": 3}",
GetDialogBaseUnits,USER32,1,"{""shelma"": 1}",
EndDialog,USER32,8,"{""shelma"": 1, ""rozena"": 7}",
DialogBoxIndirectParamW,USER32,4,"{""shelma"": 1, ""rozena"": 3}",
MoveWindow,USER32,8,"{""shelma"": 1, ""rozena"": 7}",
SendMessageW,USER32,4,"{""shelma"": 1, ""rozena"": 3}",
Ordinal_380,COMCTL32,1,"{""shelma"": 1}",
GetFileAttributesExW,KERNEL32,1,"{""shelma"": 1}",
MulDiv,KERNEL32,8,"{""shelma"": 1, ""rozena"": 7}",
SetDllDirectoryW,KERNEL32,1,"{""shelma"": 1}",
ExpandEnvironmentStringsW,KERNEL32,8,"{""shelma"": 5, ""rozena"": 3}",
CreateDirectoryW,KERNEL32,1,"{""shelma"": 1}",
GetTempPathW,KERNEL32,1,"{""shelma"": 1}",
WaitForSingleObject,KERNEL32,21,"{""shelma"": 5, ""rozena"": 15, ""shelm"": 1}",Evasion
GetExitCodeProcess,KERNEL32,6,"{""shelma"": 5, ""rozena"": 1}",
CreateProcessW,KERNEL32,4,"{""shelma"": 1, ""rozena"": 3}",
LocalFree,KERNEL32,9,"{""shelma"": 1, ""rozena"": 8}",
FormatMessageW,KERNEL32,4,"{""shelma"": 1, ""rozena"": 3}",
GetTimeZoneInformation,KERNEL32,9,"{""shelma"": 1, ""rozena"": 8}",
GetEnvironmentVariableW,KERNEL32,4,"{""shelma"": 1, ""rozena"": 3}",
RtlCaptureContext,KERNEL32,5,"{""shelma"": 5}",
RtlLookupFunctionEntry,KERNEL32,5,"{""shelma"": 5}",
RtlVirtualUnwind,KERNEL32,5,"{""shelma"": 5}",
RtlUnwindEx,KERNEL32,5,"{""shelma"": 5}",
RtlPcToFileHeader,KERNEL32,5,"{""shelma"": 5}",
GetDriveTypeW,KERNEL32,4,"{""shelma"": 1, ""rozena"": 3}",
GetFileInformationByHandle,KERNEL32,2,"{""shelma"": 1, ""rozena"": 1}",
PeekNamedPipe,KERNEL32,2,"{""shelma"": 1, ""rozena"": 1}",Helper
