TTP,Description,Occurence,Family
T1027,Obfuscated Files or Information,12,"{""cobaltstrike"": 8, ""shlem"": 3, ""rozena"": 1}"
T1497.002,Virtualization/Sandbox Evasion::User Activity Based Checks,2,"{""cobaltstrike"": 1, ""shlem"": 1}"
T1012,Query Registry,3,"{""cobaltstrike"": 1, ""shlem"": 2}"
T1082,System Information Discovery,12,"{""cobaltstrike"": 7, ""shlem"": 3, ""shelma"": 1, ""rozena"": 1}"
T1614,System Location Discovery,4,"{""cobaltstrike"": 2, ""shlem"": 2}"
T1614.001,System Location Discovery::System Language Discovery,2,"{""cobaltstrike"": 1, ""shlem"": 1}"
T1059,Command and Scripting Interpreter,6,"{""cobaltstrike"": 3, ""shlem"": 3}"
T1129,Shared Modules,8,"{""cobaltstrike"": 4, ""shlem"": 3, ""shelma"": 1}"
T1497.001,Virtualization/Sandbox Evasion::System Checks,3,"{""shlem"": 1, ""rozena"": 1, ""cobaltstrike"": 1}"
T1083,File and Directory Discovery,10,"{""shlem"": 2, ""cobaltstrike"": 6, ""shelma"": 1, ""rozena"": 1}"
T1140,Deobfuscate/Decode Files or Information,5,"{""cobaltstrike"": 3, ""shlem"": 1, ""rozena"": 1}"
T1027.005,Obfuscated Files or Information::Indicator Removal from Tools,3,"{""cobaltstrike"": 2, ""rozena"": 1}"
T1057,Process Discovery,2,"{""cobaltstrike"": 1, ""shelma"": 1}"
T1518,Software Discovery,1,"{""shelma"": 1}"
T1569.002,System Services::Service Execution,2,"{""shelma"": 1, ""shlem"": 1}"
T1548.002,Abuse Elevation Control Mechanism::Bypass User Account Control,1,"{""cobaltstrike"": 1}"
T1564.003,Hide Artifacts::Hidden Window,3,"{""cobaltstrike"": 2, ""shlem"": 1}"
T1055,Process Injection,1,"{""cobaltstrike"": 1}"
T1047,Windows Management Instrumentation,2,"{""cobaltstrike"": 1, ""shlem"": 1}"
T1222,File and Directory Permissions Modification,1,"{""shlem"": 1}"
T1010,Application Window Discovery,1,"{""shlem"": 1}"
T1033,System Owner/User Discovery,1,"{""shlem"": 1}"
T1055.003,Process Injection::Thread Execution Hijacking,2,"{""rozena"": 1, ""cobaltstrike"": 1}"
T1620,Reflective Code Loading,3,"{""rozena"": 1, ""cobaltstrike"": 2}"
T1055.012,Process Injection::Process Hollowing,1,"{""cobaltstrike"": 1}"
