Function,DLL,Occurence,Family,Associated
VirtualAlloc,KERNEL32,11,"{'rozena': 3, 'cobaltstrike': 5, 'shlem': 2, 'shelma': 1}",Injection
VirtualProtect,KERNEL32,8,"{'nolabel': 1, 'rozena': 2, 'cobaltstrike': 4, 'tedy': 1}",Injection
GetProcAddress,KERNEL32,17,"{'nolabel': 1, 'rozena': 4, 'cobaltstrike': 8, 'shlem': 2, 'tedy': 1, 'shelma': 1}",Evasion
LoadLibraryA,KERNEL32,11,"{'rozena': 3, 'shlem': 2, 'cobaltstrike': 5, 'shelma': 1}",Evasion
GetLastError,KERNEL32,13,"{'nolabel': 1, 'rozena': 3, 'cobaltstrike': 8, 'tedy': 1}"
InitializeCriticalSection,KERNEL32,7,"{'nolabel': 1, 'rozena': 1, 'cobaltstrike': 4, 'tedy': 1}"
EnterCriticalSection,KERNEL32,12,"{'nolabel': 1, 'rozena': 2, 'cobaltstrike': 8, 'tedy': 1}"
LeaveCriticalSection,KERNEL32,12,"{'nolabel': 1, 'rozena': 2, 'cobaltstrike': 8, 'tedy': 1}"
DeleteCriticalSection,KERNEL32,12,"{'nolabel': 1, 'rozena': 2, 'cobaltstrike': 8, 'tedy': 1}"
LocalFree,KERNEL32,3,"{'rozena': 1, 'cobaltstrike': 2}"
FormatMessageA,KERNEL32,2,"{'rozena': 1, 'cobaltstrike': 1}"
SetEndOfFile,KERNEL32,4,"{'rozena': 1, 'cobaltstrike': 3}"
UnhandledExceptionFilter,KERNEL32,11,"{'rozena': 3, 'cobaltstrike': 8}"
SetUnhandledExceptionFilter,KERNEL32,17,"{'rozena': 4, 'cobaltstrike': 10, 'shlem': 2, 'shelma': 1}"
GetCurrentProcess,KERNEL32,11,"{'rozena': 3, 'cobaltstrike': 8}",Enumeration
TerminateProcess,KERNEL32,10,"{'rozena': 2, 'cobaltstrike': 8}",Helper
IsProcessorFeaturePresent,KERNEL32,9,"{'rozena': 3, 'cobaltstrike': 6}"
IsDebuggerPresent,KERNEL32,9,"{'rozena': 3, 'cobaltstrike': 6}",Anti-Debugging
GetStartupInfoW,KERNEL32,8,"{'rozena': 2, 'cobaltstrike': 6}"
GetModuleHandleW,KERNEL32,11,"{'nolabel': 1, 'rozena': 3, 'cobaltstrike': 6, 'tedy': 1}"
QueryPerformanceCounter,KERNEL32,11,"{'rozena': 3, 'cobaltstrike': 8}",Anti-Debugging
GetCurrentProcessId,KERNEL32,11,"{'rozena': 3, 'cobaltstrike': 8}",Enumeration
GetCurrentThreadId,KERNEL32,11,"{'rozena': 3, 'cobaltstrike': 8}",Enumeration
GetSystemTimeAsFileTime,KERNEL32,11,"{'rozena': 3, 'cobaltstrike': 8}",Anti-Debugging
InitializeSListHead,KERNEL32,9,"{'rozena': 3, 'cobaltstrike': 6}"
RaiseException,KERNEL32,10,"{'rozena': 2, 'cobaltstrike': 8}"
RtlUnwind,KERNEL32,5,"{'rozena': 2, 'cobaltstrike': 3}"
SetLastError,KERNEL32,11,"{'rozena': 3, 'cobaltstrike': 8}"
EncodePointer,KERNEL32,6,"{'rozena': 1, 'cobaltstrike': 5}"
InitializeCriticalSectionAndSpinCount,KERNEL32,8,"{'rozena': 2, 'cobaltstrike': 6}"
TlsAlloc,KERNEL32,12,"{'rozena': 2, 'cobaltstrike': 9, 'shlem': 1}"
TlsGetValue,KERNEL32,12,"{'nolabel': 1, 'rozena': 2, 'cobaltstrike': 8, 'tedy': 1}"
TlsSetValue,KERNEL32,10,"{'rozena': 2, 'cobaltstrike': 8}"
TlsFree,KERNEL32,8,"{'rozena': 2, 'cobaltstrike': 6}"
FreeLibrary,KERNEL32,8,"{'rozena': 2, 'cobaltstrike': 6}"
LoadLibraryExW,KERNEL32,8,"{'rozena': 2, 'cobaltstrike': 6}"
ExitProcess,KERNEL32,14,"{'rozena': 3, 'cobaltstrike': 8, 'shlem': 2, 'shelma': 1}"
GetModuleHandleExW,KERNEL32,8,"{'rozena': 2, 'cobaltstrike': 6}"
GetStdHandle,KERNEL32,15,"{'rozena': 4, 'cobaltstrike': 8, 'shlem': 2, 'shelma': 1}"
GetFileType,KERNEL32,8,"{'rozena': 2, 'cobaltstrike': 6}"
GetModuleFileNameW,KERNEL32,7,"{'rozena': 2, 'cobaltstrike': 5}"
WriteConsoleW,KERNEL32,15,"{'rozena': 4, 'cobaltstrike': 8, 'shlem': 2, 'shelma': 1}"
