Function,DLL,Occurence,Family,Associated
_CorExeMain,MSCOREE,5,"{'nolabel': 2, 'grunt': 3}"
AddAccessAllowedAceEx,ADVAPI32,3,{'tetanus': 3}
AddAccessDeniedAceEx,ADVAPI32,3,{'tetanus': 3}
AddAce,ADVAPI32,3,{'tetanus': 3}
AddAuditAccessAceEx,ADVAPI32,3,{'tetanus': 3}
AddMandatoryAce,ADVAPI32,3,{'tetanus': 3}
AdjustTokenPrivileges,ADVAPI32,4,"{'tetanus': 3, 'athena': 1}",Injection
ConvertSidToStringSidW,ADVAPI32,3,{'tetanus': 3}
ConvertStringSidToSidW,ADVAPI32,3,{'tetanus': 3}
CopySid,ADVAPI32,3,{'tetanus': 3}
CryptAcquireContextW,ADVAPI32,3,{'tetanus': 3}
CryptDestroyKey,ADVAPI32,3,{'tetanus': 3},Ransomware
CryptGenRandom,ADVAPI32,3,{'tetanus': 3},Ransomware
CryptReleaseContext,ADVAPI32,3,{'tetanus': 3},Ransomware
DeregisterEventSource,ADVAPI32,4,"{'tetanus': 3, 'athena': 1}"
EqualSid,ADVAPI32,3,{'tetanus': 3}
GetAce,ADVAPI32,3,{'tetanus': 3}
GetAclInformation,ADVAPI32,3,{'tetanus': 3}
GetLengthSid,ADVAPI32,3,{'tetanus': 3}
GetNamedSecurityInfoA,ADVAPI32,3,{'tetanus': 3}
GetNamedSecurityInfoW,ADVAPI32,3,{'tetanus': 3}
GetSidSubAuthority,ADVAPI32,4,"{'tetanus': 3, 'athena': 1}"
GetSidSubAuthorityCount,ADVAPI32,4,"{'tetanus': 3, 'athena': 1}"
GetTokenInformation,ADVAPI32,4,"{'tetanus': 3, 'athena': 1}"
GetUserNameW,ADVAPI32,3,{'tetanus': 3}
InitializeAcl,ADVAPI32,3,{'tetanus': 3}
IsValidAcl,ADVAPI32,3,{'tetanus': 3}
IsValidSid,ADVAPI32,3,{'tetanus': 3}
LookupAccountNameW,ADVAPI32,3,{'tetanus': 3}
LookupAccountSidA,ADVAPI32,3,{'tetanus': 3}
LookupPrivilegeNameA,ADVAPI32,3,{'tetanus': 3}
LookupPrivilegeValueW,ADVAPI32,4,"{'tetanus': 3, 'athena': 1}"
OpenProcessToken,ADVAPI32,4,"{'tetanus': 3, 'athena': 1}",Injection
RegisterEventSourceW,ADVAPI32,4,"{'tetanus': 3, 'athena': 1}"
ReportEventW,ADVAPI32,4,"{'tetanus': 3, 'athena': 1}"
SetNamedSecurityInfoW,ADVAPI32,3,{'tetanus': 3}
SystemFunction036,ADVAPI32,3,{'tetanus': 3}
AcquireSRWLockExclusive,KERNEL32,4,"{'tetanus': 3, 'athena': 1}"
AcquireSRWLockShared,KERNEL32,3,{'tetanus': 3}
AddVectoredExceptionHandler,KERNEL32,4,"{'tetanus': 3, 'athena': 1}"
CancelIo,KERNEL32,3,{'tetanus': 3}
CancelIoEx,KERNEL32,4,"{'tetanus': 3, 'athena': 1}"
CloseHandle,KERNEL32,4,"{'tetanus': 3, 'athena': 1}"
CompareStringOrdinal,KERNEL32,3,{'tetanus': 3}
ConnectNamedPipe,KERNEL32,4,"{'tetanus': 3, 'athena': 1}",Helper
ConvertFiberToThread,KERNEL32,3,{'tetanus': 3}
ConvertThreadToFiber,KERNEL32,3,{'tetanus': 3}
CopyFileExW,KERNEL32,3,{'tetanus': 3}
CreateDirectoryW,KERNEL32,4,"{'tetanus': 3, 'athena': 1}"
CreateEventA,KERNEL32,3,{'tetanus': 3}
CreateEventW,KERNEL32,4,"{'tetanus': 3, 'athena': 1}"
CreateFiber,KERNEL32,3,{'tetanus': 3}
CreateFileA,KERNEL32,4,"{'tetanus': 3, 'athena': 1}",Helper
CreateFileMappingA,KERNEL32,4,"{'tetanus': 3, 'athena': 1}",Evasion
CreateFileW,KERNEL32,4,"{'tetanus': 3, 'athena': 1}"
CreateHardLinkW,KERNEL32,3,{'tetanus': 3}
CreateIoCompletionPort,KERNEL32,4,"{'tetanus': 3, 'athena': 1}"
CreateMutexA,KERNEL32,3,{'tetanus': 3},Helper
CreateNamedPipeW,KERNEL32,3,{'tetanus': 3}
CreateProcessW,KERNEL32,4,"{'tetanus': 3, 'athena': 1}"
CreateSymbolicLinkW,KERNEL32,3,{'tetanus': 3}
CreateThread,KERNEL32,4,"{'tetanus': 3, 'athena': 1}",Injection
CreateToolhelp32Snapshot,KERNEL32,3,{'tetanus': 3},Anti-Debugging
DeleteCriticalSection,KERNEL32,4,"{'tetanus': 3, 'athena': 1}"
DeleteFiber,KERNEL32,3,{'tetanus': 3}
DeleteFileW,KERNEL32,3,{'tetanus': 3}
DeviceIoControl,KERNEL32,3,{'tetanus': 3},Helper
DisconnectNamedPipe,KERNEL32,4,"{'tetanus': 3, 'athena': 1}"
DuplicateHandle,KERNEL32,4,"{'tetanus': 3, 'athena': 1}"
EnterCriticalSection,KERNEL32,4,"{'tetanus': 3, 'athena': 1}"
ExitProcess,KERNEL32,4,"{'tetanus': 3, 'athena': 1}"
FileTimeToSystemTime,KERNEL32,3,{'tetanus': 3}
FindClose,KERNEL32,4,"{'tetanus': 3, 'athena': 1}",Helper
FindFirstFileW,KERNEL32,3,{'tetanus': 3}
FindNextFileW,KERNEL32,4,"{'tetanus': 3, 'athena': 1}"
FlushFileBuffers,KERNEL32,4,"{'tetanus': 3, 'athena': 1}"
FormatMessageW,KERNEL32,4,"{'tetanus': 3, 'athena': 1}"
FreeEnvironmentStringsW,KERNEL32,4,"{'tetanus': 3, 'athena': 1}"
GetCommandLineW,KERNEL32,4,"{'tetanus': 3, 'athena': 1}"
GetComputerNameExW,KERNEL32,3,{'tetanus': 3}
GetConsoleMode,KERNEL32,3,{'tetanus': 3}
GetCurrentDirectoryW,KERNEL32,4,"{'tetanus': 3, 'athena': 1}"
GetCurrentProcess,KERNEL32,4,"{'tetanus': 3, 'athena': 1}",Enumeration
GetCurrentProcessId,KERNEL32,4,"{'tetanus': 3, 'athena': 1}",Enumeration
GetCurrentThread,KERNEL32,4,"{'tetanus': 3, 'athena': 1}",Enumeration
GetCurrentThreadId,KERNEL32,4,"{'tetanus': 3, 'athena': 1}",Enumeration
GetEnvironmentStringsW,KERNEL32,4,"{'tetanus': 3, 'athena': 1}"
GetEnvironmentVariableW,KERNEL32,4,"{'tetanus': 3, 'athena': 1}"
GetExitCodeProcess,KERNEL32,3,{'tetanus': 3}
GetFileInformationByHandle,KERNEL32,3,{'tetanus': 3}
GetFileInformationByHandleEx,KERNEL32,3,{'tetanus': 3}
GetFileType,KERNEL32,3,{'tetanus': 3}
GetFinalPathNameByHandleW,KERNEL32,3,{'tetanus': 3}
GetFullPathNameW,KERNEL32,4,"{'tetanus': 3, 'athena': 1}"
GetLastError,KERNEL32,4,"{'tetanus': 3, 'athena': 1}"
GetLogicalProcessorInformation,KERNEL32,4,"{'tetanus': 3, 'athena': 1}",Anti-Debugging
GetModuleFileNameW,KERNEL32,4,"{'tetanus': 3, 'athena': 1}"
GetModuleHandleA,KERNEL32,3,{'tetanus': 3},Evasion
GetModuleHandleW,KERNEL32,4,"{'tetanus': 3, 'athena': 1}"
GetNamedPipeInfo,KERNEL32,3,{'tetanus': 3}
GetOverlappedResult,KERNEL32,4,"{'tetanus': 3, 'athena': 1}"
GetProcAddress,KERNEL32,4,"{'tetanus': 3, 'athena': 1}",Evasion
GetProcessHeap,KERNEL32,4,"{'tetanus': 3, 'athena': 1}",Injection
GetProcessId,KERNEL32,3,{'tetanus': 3},Enumeration
GetProcessTimes,KERNEL32,4,"{'tetanus': 3, 'athena': 1}"
GetQueuedCompletionStatusEx,KERNEL32,3,{'tetanus': 3}
GetStartupInfoA,KERNEL32,3,{'tetanus': 3}
GetStdHandle,KERNEL32,4,"{'tetanus': 3, 'athena': 1}"
GetSystemDirectoryW,KERNEL32,3,{'tetanus': 3}
GetSystemInfo,KERNEL32,4,"{'tetanus': 3, 'athena': 1}"
GetSystemTime,KERNEL32,4,"{'tetanus': 3, 'athena': 1}",Anti-Debugging
GetSystemTimeAsFileTime,KERNEL32,4,"{'tetanus': 3, 'athena': 1}",Anti-Debugging
GetTempPathW,KERNEL32,4,"{'tetanus': 3, 'athena': 1}"
GetTimeZoneInformation,KERNEL32,3,{'tetanus': 3}
GetVersion,KERNEL32,3,{'tetanus': 3}
GetWindowsDirectoryW,KERNEL32,3,{'tetanus': 3}
HeapAlloc,KERNEL32,4,"{'tetanus': 3, 'athena': 1}",Injection
HeapFree,KERNEL32,4,"{'tetanus': 3, 'athena': 1}"
HeapReAlloc,KERNEL32,4,"{'tetanus': 3, 'athena': 1}",Injection
InitializeCriticalSection,KERNEL32,4,"{'tetanus': 3, 'athena': 1}"
InitializeCriticalSectionAndSpinCount,KERNEL32,4,"{'tetanus': 3, 'athena': 1}"
IsWow64Process,KERNEL32,4,"{'tetanus': 3, 'athena': 1}"
LeaveCriticalSection,KERNEL32,4,"{'tetanus': 3, 'athena': 1}"
LoadLibraryA,KERNEL32,4,"{'tetanus': 3, 'athena': 1}",Evasion
LocalFree,KERNEL32,4,"{'tetanus': 3, 'athena': 1}"
MapViewOfFile,KERNEL32,4,"{'tetanus': 3, 'athena': 1}",Injection
Module32First,KERNEL32,3,{'tetanus': 3},Enumeration
Module32FirstW,KERNEL32,3,{'tetanus': 3}
Module32NextW,KERNEL32,3,{'tetanus': 3}
MoveFileExW,KERNEL32,3,{'tetanus': 3}
MultiByteToWideChar,KERNEL32,4,"{'tetanus': 3, 'athena': 1}"
OpenProcess,KERNEL32,4,"{'tetanus': 3, 'athena': 1}",Injection
PostQueuedCompletionStatus,KERNEL32,4,"{'tetanus': 3, 'athena': 1}"
Process32First,KERNEL32,3,{'tetanus': 3},Injection
Process32Next,KERNEL32,3,{'tetanus': 3},Injection
QueryPerformanceCounter,KERNEL32,4,"{'tetanus': 3, 'athena': 1}",Anti-Debugging
QueryPerformanceFrequency,KERNEL32,4,"{'tetanus': 3, 'athena': 1}",Anti-Debugging
ReadConsoleA,KERNEL32,3,{'tetanus': 3}
ReadConsoleW,KERNEL32,3,{'tetanus': 3}
ReadFile,KERNEL32,4,"{'tetanus': 3, 'athena': 1}",Enumeration
RegisterWaitForSingleObject,KERNEL32,3,{'tetanus': 3}
ReleaseMutex,KERNEL32,4,"{'tetanus': 3, 'athena': 1}"
ReleaseSRWLockExclusive,KERNEL32,4,"{'tetanus': 3, 'athena': 1}"
ReleaseSRWLockShared,KERNEL32,3,{'tetanus': 3}
RemoveDirectoryW,KERNEL32,4,"{'tetanus': 3, 'athena': 1}"
SetConsoleMode,KERNEL32,3,{'tetanus': 3}
SetCurrentDirectoryW,KERNEL32,3,{'tetanus': 3}
SetEnvironmentVariableW,KERNEL32,4,"{'tetanus': 3, 'athena': 1}"
SetFileAttributesW,KERNEL32,3,{'tetanus': 3}
SetFileCompletionNotificationModes,KERNEL32,3,{'tetanus': 3}
SetFileInformationByHandle,KERNEL32,3,{'tetanus': 3}
SetFilePointerEx,KERNEL32,3,{'tetanus': 3}
SetHandleInformation,KERNEL32,3,{'tetanus': 3}
SetLastError,KERNEL32,4,"{'tetanus': 3, 'athena': 1}"
SetThreadStackGuarantee,KERNEL32,4,"{'tetanus': 3, 'athena': 1}"
SetUnhandledExceptionFilter,KERNEL32,4,"{'tetanus': 3, 'athena': 1}"
Sleep,KERNEL32,4,"{'tetanus': 3, 'athena': 1}",Anti-Debugging
SleepConditionVariableSRW,KERNEL32,4,"{'tetanus': 3, 'athena': 1}"
SleepEx,KERNEL32,4,"{'tetanus': 3, 'athena': 1}",Anti-Debugging
SwitchToFiber,KERNEL32,3,{'tetanus': 3}
SwitchToThread,KERNEL32,4,"{'tetanus': 3, 'athena': 1}"
SystemTimeToFileTime,KERNEL32,3,{'tetanus': 3}
SystemTimeToTzSpecificLocalTime,KERNEL32,3,{'tetanus': 3}
TerminateProcess,KERNEL32,4,"{'tetanus': 3, 'athena': 1}",Helper
TlsAlloc,KERNEL32,4,"{'tetanus': 3, 'athena': 1}"
TlsFree,KERNEL32,4,"{'tetanus': 3, 'athena': 1}"
TlsGetValue,KERNEL32,4,"{'tetanus': 3, 'athena': 1}"
TlsSetValue,KERNEL32,4,"{'tetanus': 3, 'athena': 1}"
TryAcquireSRWLockExclusive,KERNEL32,3,{'tetanus': 3}
TryEnterCriticalSection,KERNEL32,3,"{'tetanus': 2, 'athena': 1}"
TzSpecificLocalTimeToSystemTime,KERNEL32,3,{'tetanus': 3}
UnmapViewOfFile,KERNEL32,4,"{'tetanus': 3, 'athena': 1}",Helper
UnregisterWaitEx,KERNEL32,3,{'tetanus': 3}
WaitForMultipleObjects,KERNEL32,4,"{'tetanus': 3, 'athena': 1}",Evasion
WaitForSingleObject,KERNEL32,4,"{'tetanus': 3, 'athena': 1}",Evasion
WaitForSingleObjectEx,KERNEL32,4,"{'tetanus': 3, 'athena': 1}",Evasion
WaitNamedPipeA,KERNEL32,3,{'tetanus': 3}
WakeAllConditionVariable,KERNEL32,4,"{'tetanus': 3, 'athena': 1}"
WakeConditionVariable,KERNEL32,4,"{'tetanus': 3, 'athena': 1}"
WideCharToMultiByte,KERNEL32,4,"{'tetanus': 3, 'athena': 1}"
WriteConsoleW,KERNEL32,3,{'tetanus': 3}
WriteFile,KERNEL32,4,"{'tetanus': 3, 'athena': 1}",Helper
NCryptFreeObject,NCRYPT,3,{'tetanus': 3}
CoCreateInstance,OLE32,3,{'tetanus': 3}
CoInitializeEx,OLE32,4,"{'tetanus': 3, 'athena': 1}"
CoInitializeSecurity,OLE32,3,{'tetanus': 3}
CoSetProxyBlanket,OLE32,3,{'tetanus': 3}
CoUninitialize,OLE32,4,"{'tetanus': 3, 'athena': 1}"
SafeArrayAccessData,OLEAUT32,3,{'tetanus': 3}
SafeArrayDestroy,OLEAUT32,3,{'tetanus': 3}
SafeArrayGetLBound,OLEAUT32,3,{'tetanus': 3}
SafeArrayGetUBound,OLEAUT32,3,{'tetanus': 3}
SafeArrayUnaccessData,OLEAUT32,3,{'tetanus': 3}
SysAllocStringLen,OLEAUT32,3,{'tetanus': 3}
SysFreeString,OLEAUT32,3,{'tetanus': 3}
VariantClear,OLEAUT32,3,{'tetanus': 3}
AcquireCredentialsHandleA,SECUR32,3,{'tetanus': 3}
GetUserProfileDirectoryW,USERENV,3,{'tetanus': 3}
WSACleanup,WS2_32,3,{'tetanus': 3},Internet
WSADuplicateSocketW,WS2_32,3,{'tetanus': 3}
