Function,DLL,Occurence,Family,Associated
_CorExeMain,MSCOREE,1,{'msilzilla': 1}
HeapAlloc,KERNEL32,9,"{'nolabel': 2, 'meterpreter': 1, 'sharps': 3, 'malheur': 1, 'registrystorage': 1, 'cobaltstrike': 1}",Injection
HeapFree,KERNEL32,9,"{'nolabel': 2, 'meterpreter': 1, 'sharps': 3, 'malheur': 1, 'registrystorage': 1, 'cobaltstrike': 1}"
HeapSize,KERNEL32,5,"{'nolabel': 2, 'meterpreter': 1, 'registrystorage': 1, 'cobaltstrike': 1}"
GetProcessHeap,KERNEL32,7,"{'nolabel': 2, 'meterpreter': 1, 'sharps': 3, 'cobaltstrike': 1}",Injection
UnhandledExceptionFilter,KERNEL32,12,"{'nolabel': 2, 'meterpreter': 1, 'sharps': 3, 'cobaltstrike': 2, 'rozena': 1, 'dealply': 1, 'malheur': 1, 'registrystorage': 1}"
SetUnhandledExceptionFilter,KERNEL32,12,"{'nolabel': 2, 'meterpreter': 1, 'sharps': 3, 'cobaltstrike': 2, 'rozena': 1, 'shelma': 1, 'registrystorage': 1, 'convagent': 1}"
GetLastError,KERNEL32,15,"{'nolabel': 2, 'meterpreter': 1, 'sharps': 3, 'cobaltstrike': 2, 'rozena': 3, 'dealply': 1, 'malheur': 1, 'registrystorage': 1, 'convagent': 1}"
ReleaseSRWLockExclusive,KERNEL32,4,"{'meterpreter': 1, 'sharps': 3}"
ReleaseSRWLockShared,KERNEL32,1,{'meterpreter': 1}
TryAcquireSRWLockExclusive,KERNEL32,1,{'meterpreter': 1}
SetCriticalSectionSpinCount,KERNEL32,1,{'meterpreter': 1}
WakeAllConditionVariable,KERNEL32,4,"{'meterpreter': 1, 'sharps': 3}"
GetMenu,USER32,5,"{'nolabel': 1, 'meterpreter': 1, 'cobaltstrike': 3}"
GetSystemMenu,USER32,2,"{'meterpreter': 1, 'cobaltstrike': 1}"
CheckMenuItem,USER32,3,"{'nolabel': 1, 'meterpreter': 1, 'cobaltstrike': 1}"
EnableMenuItem,USER32,3,"{'nolabel': 1, 'meterpreter': 1, 'cobaltstrike': 1}"
GetMenuItemID,USER32,3,"{'nolabel': 1, 'meterpreter': 1, 'cobaltstrike': 1}"
UpdateWindow,USER32,4,"{'nolabel': 1, 'meterpreter': 1, 'cobaltstrike': 2}"
GetWindowContextHelpId,USER32,1,{'meterpreter': 1}
MessageBoxA,USER32,5,"{'nolabel': 1, 'meterpreter': 1, 'rozena': 1, 'dealply': 1, 'malheur': 1}"
MessageBoxW,USER32,10,"{'nolabel': 1, 'meterpreter': 1, 'sharps': 3, 'cobaltstrike': 2, 'rozena': 1, 'dealply': 1, 'malheur': 1}"
MessageBeep,USER32,2,"{'meterpreter': 1, 'cobaltstrike': 1}"
MultiByteToWideChar,KERNEL32,13,"{'nolabel': 2, 'sharps': 3, 'rozena': 3, 'dealply': 2, 'malheur': 1, 'registrystorage': 1, 'cobaltstrike': 1}"
GetTickCount,KERNEL32,10,"{'nolabel': 2, 'sharps': 3, 'rozena': 1, 'dealply': 1, 'malheur': 1, 'registrystorage': 1, 'cobaltstrike': 1}",Anti-Debugging
QueryPerformanceFrequency,KERNEL32,6,"{'nolabel': 2, 'sharps': 3, 'cobaltstrike': 1}",Anti-Debugging
QueryPerformanceCounter,KERNEL32,11,"{'nolabel': 2, 'sharps': 3, 'cobaltstrike': 2, 'rozena': 1, 'dealply': 1, 'malheur': 1, 'registrystorage': 1}",Anti-Debugging
GetModuleHandleW,KERNEL32,16,"{'nolabel': 2, 'sharps': 3, 'cobaltstrike': 2, 'rozena': 4, 'dealply': 3, 'malheur': 1, 'registrystorage': 1}"
FlushInstructionCache,KERNEL32,4,"{'nolabel': 1, 'sharps': 3}"
RtlLookupFunctionEntry,KERNEL32,4,"{'sharps': 3, 'rozena': 1}"
RtlDeleteFunctionTable,KERNEL32,3,{'sharps': 3}
InterlockedPushEntrySList,KERNEL32,3,{'sharps': 3}
InterlockedFlushSList,KERNEL32,3,{'sharps': 3}
InitializeSListHead,KERNEL32,5,"{'sharps': 3, 'cobaltstrike': 2}"
GetTickCount64,KERNEL32,3,{'sharps': 3},Anti-Debugging
DuplicateHandle,KERNEL32,8,"{'nolabel': 2, 'sharps': 3, 'rozena': 1, 'shelma': 1, 'cobaltstrike': 1}"
QueueUserAPC,KERNEL32,3,{'sharps': 3},Injection
WaitForSingleObjectEx,KERNEL32,6,"{'nolabel': 1, 'sharps': 3, 'cobaltstrike': 2}",Evasion
SetThreadPriority,KERNEL32,5,"{'sharps': 3, 'malheur': 1, 'cobaltstrike': 1}",Helper
GetThreadPriority,KERNEL32,4,"{'sharps': 3, 'malheur': 1}"
ResumeThread,KERNEL32,8,"{'nolabel': 2, 'sharps': 3, 'malheur': 1, 'shelma': 1, 'cobaltstrike': 1}",Injection
GetCurrentThreadId,KERNEL32,12,"{'nolabel': 2, 'sharps': 3, 'cobaltstrike': 2, 'rozena': 2, 'dealply': 1, 'malheur': 1, 'registrystorage': 1}",Enumeration
Sleep,KERNEL32,17,"{'nolabel': 2, 'sharps': 3, 'cobaltstrike': 2, 'rozena': 4, 'dealply': 2, 'malheur': 1, 'shelma': 1, 'registrystorage': 1, 'convagent': 1}",Anti-Debugging
TlsAlloc,KERNEL32,9,"{'nolabel': 2, 'sharps': 3, 'rozena': 2, 'registrystorage': 1, 'cobaltstrike': 1}"
GetCurrentThread,KERNEL32,6,"{'nolabel': 1, 'sharps': 3, 'malheur': 1, 'cobaltstrike': 1}",Enumeration
CreateThread,KERNEL32,8,"{'nolabel': 2, 'sharps': 3, 'malheur': 1, 'shelma': 1, 'cobaltstrike': 1}",Injection
WaitForMultipleObjectsEx,KERNEL32,3,{'sharps': 3},Evasion
SignalObjectAndWait,KERNEL32,5,"{'sharps': 3, 'rozena': 1, 'dealply': 1}"
RtlCaptureContext,KERNEL32,4,"{'sharps': 3, 'rozena': 1}"
SetThreadStackGuarantee,KERNEL32,3,{'sharps': 3}
VirtualQuery,KERNEL32,14,"{'nolabel': 2, 'sharps': 3, 'rozena': 3, 'dealply': 2, 'malheur': 1, 'shelma': 1, 'cobaltstrike': 1, 'convagent': 1}"
GetStdHandle,KERNEL32,13,"{'nolabel': 2, 'sharps': 3, 'rozena': 2, 'dealply': 2, 'malheur': 1, 'shelma': 1, 'registrystorage': 1, 'cobaltstrike': 1}"
WideCharToMultiByte,KERNEL32,13,"{'nolabel': 2, 'sharps': 3, 'rozena': 3, 'dealply': 2, 'malheur': 1, 'registrystorage': 1, 'cobaltstrike': 1}"
GetConsoleOutputCP,KERNEL32,5,"{'nolabel': 1, 'sharps': 3, 'cobaltstrike': 1}"
MapViewOfFileEx,KERNEL32,3,{'sharps': 3},Injection
UnmapViewOfFile,KERNEL32,6,"{'nolabel': 2, 'sharps': 3, 'rozena': 1}",Helper
GetStringTypeExW,KERNEL32,3,{'sharps': 3}
SetEvent,KERNEL32,12,"{'nolabel': 2, 'sharps': 3, 'cobaltstrike': 2, 'rozena': 2, 'dealply': 1, 'malheur': 1, 'shelma': 1}"
GetCurrentProcessorNumber,KERNEL32,3,{'sharps': 3}
GlobalMemoryStatusEx,KERNEL32,5,"{'nolabel': 1, 'sharps': 3, 'convagent': 1}"
CreateIoCompletionPort,KERNEL32,4,"{'sharps': 3, 'shelma': 1}"
PostQueuedCompletionStatus,KERNEL32,4,"{'sharps': 3, 'shelma': 1}"
SleepEx,KERNEL32,3,{'sharps': 3},Anti-Debugging
GetQueuedCompletionStatus,KERNEL32,3,{'sharps': 3}
InterlockedPopEntrySList,KERNEL32,3,{'sharps': 3}
GetCurrentProcessorNumberEx,KERNEL32,3,{'sharps': 3}
ExitProcess,KERNEL32,12,"{'nolabel': 2, 'sharps': 3, 'rozena': 1, 'dealply': 1, 'shelma': 2, 'malheur': 1, 'registrystorage': 1, 'cobaltstrike': 1}"
CreateMemoryResourceNotification,KERNEL32,3,{'sharps': 3}
GetProcessAffinityMask,KERNEL32,5,"{'nolabel': 1, 'sharps': 3, 'shelma': 1}"
SetThreadIdealProcessorEx,KERNEL32,3,{'sharps': 3}
GetThreadIdealProcessorEx,KERNEL32,3,{'sharps': 3}
GetLargePageMinimum,KERNEL32,3,{'sharps': 3}
VirtualUnlock,KERNEL32,3,{'sharps': 3}
GetLogicalProcessorInformation,KERNEL32,4,"{'sharps': 3, 'malheur': 1}",Anti-Debugging
SetThreadGroupAffinity,KERNEL32,3,{'sharps': 3}
SetThreadAffinityMask,KERNEL32,3,{'sharps': 3}
IsProcessInJob,KERNEL32,3,{'sharps': 3}
QueryInformationJobObject,KERNEL32,3,{'sharps': 3}
K32GetProcessMemoryInfo,KERNEL32,3,{'sharps': 3}
