Function,DLL,Occurence,Family,Associated
LoadLibraryA,KERNEL32,8,"{'nolabel': 1, 'sliver': 1, 'agentb': 2, 'shelm': 3, 'vilers': 1}",Evasion
ExitProcess,KERNEL32,7,"{'nolabel': 1, 'sliver': 1, 'agentb': 2, 'shlem': 1, 'donut': 1, 'vilers': 1}"
GetProcAddress,KERNEL32,10,"{'nolabel': 1, 'sliver': 1, 'agentb': 2, 'shelm': 3, 'shlem': 1, 'donut': 1, 'vilers': 1}",Evasion
VirtualProtect,KERNEL32,4,"{'sliver': 1, 'shelm': 3}",Injection
exit,MSVCRT,4,"{'sliver': 1, 'shelm': 3}"
WriteFile,KERNEL32,6,"{'nolabel': 1, 'agentb': 2, 'shlem': 1, 'donut': 1, 'vilers': 1}",Helper
WriteConsoleW,KERNEL32,6,"{'nolabel': 1, 'agentb': 2, 'shlem': 1, 'donut': 1, 'vilers': 1}"
WaitForSingleObject,KERNEL32,5,"{'nolabel': 1, 'agentb': 2, 'shlem': 1, 'vilers': 1}",Evasion
VirtualQuery,KERNEL32,7,"{'nolabel': 1, 'agentb': 2, 'shelm': 3, 'vilers': 1}"
VirtualFree,KERNEL32,7,"{'nolabel': 1, 'agentb': 2, 'shelm': 3, 'vilers': 1}"
VirtualAlloc,KERNEL32,9,"{'nolabel': 1, 'agentb': 2, 'shelm': 3, 'shlem': 1, 'donut': 1, 'vilers': 1}",Injection
SwitchToThread,KERNEL32,4,"{'nolabel': 1, 'agentb': 2, 'vilers': 1}"
SetWaitableTimer,KERNEL32,4,"{'nolabel': 1, 'agentb': 2, 'vilers': 1}",Evasion
SetUnhandledExceptionFilter,KERNEL32,9,"{'nolabel': 1, 'agentb': 2, 'shelm': 3, 'shlem': 1, 'donut': 1, 'vilers': 1}"
SetProcessPriorityBoost,KERNEL32,4,"{'nolabel': 1, 'agentb': 2, 'vilers': 1}"
SetEvent,KERNEL32,4,"{'nolabel': 1, 'agentb': 2, 'vilers': 1}"
SetErrorMode,KERNEL32,4,"{'nolabel': 1, 'agentb': 2, 'vilers': 1}"
SetConsoleCtrlHandler,KERNEL32,4,"{'nolabel': 1, 'agentb': 2, 'vilers': 1}"
LoadLibraryW,KERNEL32,4,"{'nolabel': 1, 'agentb': 2, 'vilers': 1}"
GetSystemInfo,KERNEL32,4,"{'nolabel': 1, 'agentb': 2, 'vilers': 1}"
GetSystemDirectoryA,KERNEL32,4,"{'nolabel': 1, 'agentb': 2, 'vilers': 1}",Enumeration
GetStdHandle,KERNEL32,6,"{'nolabel': 1, 'agentb': 2, 'shlem': 1, 'donut': 1, 'vilers': 1}"
GetQueuedCompletionStatus,KERNEL32,3,"{'nolabel': 1, 'agentb': 2}"
GetProcessAffinityMask,KERNEL32,4,"{'nolabel': 1, 'agentb': 2, 'vilers': 1}"
GetEnvironmentStringsW,KERNEL32,6,"{'nolabel': 1, 'agentb': 2, 'shlem': 1, 'donut': 1, 'vilers': 1}"
GetConsoleMode,KERNEL32,6,"{'nolabel': 1, 'agentb': 2, 'shlem': 1, 'donut': 1, 'vilers': 1}"
FreeEnvironmentStringsW,KERNEL32,6,"{'nolabel': 1, 'agentb': 2, 'shlem': 1, 'donut': 1, 'vilers': 1}"
DuplicateHandle,KERNEL32,4,"{'nolabel': 1, 'agentb': 2, 'vilers': 1}"
CreateThread,KERNEL32,5,"{'nolabel': 1, 'agentb': 2, 'shlem': 1, 'vilers': 1}",Injection
CreateIoCompletionPort,KERNEL32,4,"{'nolabel': 1, 'agentb': 2, 'vilers': 1}"
CreateEventA,KERNEL32,4,"{'nolabel': 1, 'agentb': 2, 'vilers': 1}"
CloseHandle,KERNEL32,6,"{'nolabel': 1, 'agentb': 2, 'shlem': 1, 'donut': 1, 'vilers': 1}"
AddVectoredExceptionHandler,KERNEL32,4,"{'nolabel': 1, 'agentb': 2, 'vilers': 1}"
DeleteCriticalSection,KERNEL32,5,"{'shelm': 3, 'shlem': 1, 'donut': 1}"
EnterCriticalSection,KERNEL32,5,"{'shelm': 3, 'shlem': 1, 'donut': 1}"
GetCurrentProcess,KERNEL32,5,"{'shelm': 3, 'shlem': 1, 'donut': 1}",Enumeration
GetCurrentProcessId,KERNEL32,5,"{'shelm': 3, 'shlem': 1, 'donut': 1}",Enumeration
GetCurrentThreadId,KERNEL32,5,"{'shelm': 3, 'shlem': 1, 'donut': 1}",Enumeration
GetLastError,KERNEL32,5,"{'shelm': 3, 'shlem': 1, 'donut': 1}"
GetStartupInfoA,KERNEL32,3,{'shelm': 3}
GetSystemTimeAsFileTime,KERNEL32,5,"{'shelm': 3, 'shlem': 1, 'donut': 1}",Anti-Debugging
GetTickCount,KERNEL32,3,{'shelm': 3},Anti-Debugging
InitializeCriticalSection,KERNEL32,4,"{'shelm': 3, 'shlem': 1}"
LeaveCriticalSection,KERNEL32,5,"{'shelm': 3, 'shlem': 1, 'donut': 1}"
