TTP,Description,Occurence,Family
T1140,Deobfuscate/Decode Files or Information,2,{'tetanus': 2}
T1222,File and Directory Permissions Modification,2,{'tetanus': 2}
T1027,Obfuscated Files or Information,3,"{'tetanus': 2, 'athena': 1}"
T1087,Account Discovery,2,{'tetanus': 2}
T1010,Application Window Discovery,2,{'tetanus': 2}
T1083,File and Directory Discovery,3,"{'tetanus': 2, 'athena': 1}"
T1057,Process Discovery,3,"{'tetanus': 2, 'athena': 1}"
T1518,Software Discovery,2,{'tetanus': 2}
T1082,System Information Discovery,3,"{'tetanus': 2, 'athena': 1}"
T1016,System Network Configuration Discovery,2,{'tetanus': 2}
T1033,System Owner/User Discovery,2,{'tetanus': 2}
T1059,Command and Scripting Interpreter,3,"{'tetanus': 2, 'athena': 1}"
T1129,Shared Modules,3,"{'tetanus': 2, 'athena': 1}"
T1569.002,System Services::Service Execution,2,{'tetanus': 2}
T1047,Windows Management Instrumentation,2,{'tetanus': 2}
T1497.001,Virtualization/Sandbox Evasion::System Checks,1,{'athena': 1}
T1012,Query Registry,1,{'athena': 1}
T1614,System Location Discovery,1,{'athena': 1}
