TTP,Description,Occurence,Family
T1140,Deobfuscate/Decode Files or Information,3,"{'msilzilla': 1, 'bobik': 1, 'shelma': 1}"
T1027,Obfuscated Files or Information,7,"{'nolabel': 1, 'msilzilla': 1, 'bobik': 1, 'shelma': 1, 'registrystorage': 1, 'cobaltstrike': 1, 'rozena': 1}"
T1497.001,Virtualization/Sandbox Evasion::System Checks,3,"{'nolabel': 1, 'msilzilla': 1, 'rozena': 1}"
T1083,File and Directory Discovery,6,"{'nolabel': 1, 'sharps': 3, 'bobik': 1, 'cobaltstrike': 1}"
T1057,Process Discovery,6,"{'nolabel': 1, 'sharps': 3, 'bobik': 1, 'registrystorage': 1}"
T1012,Query Registry,6,"{'nolabel': 1, 'sharps': 3, 'registrystorage': 1, 'cobaltstrike': 1}"
T1082,System Information Discovery,5,"{'nolabel': 1, 'sharps': 3, 'bobik': 1}"
T1614,System Location Discovery,4,"{'nolabel': 1, 'sharps': 3}"
T1059,Command and Scripting Interpreter,4,"{'sharps': 3, 'rozena': 1}"
T1129,Shared Modules,6,"{'nolabel': 1, 'sharps': 3, 'rozena': 1, 'convagent': 1}"
T1569.002,System Services::Service Execution,3,"{'nolabel': 1, 'rozena': 1, 'convagent': 1}"
T1620,Reflective Code Loading,2,"{'bobik': 1, 'convagent': 1}"
T1087,Account Discovery,1,{'bobik': 1}
T1518,Software Discovery,3,"{'nolabel': 1, 'bobik': 1, 'registrystorage': 1}"
T1033,System Owner/User Discovery,1,{'bobik': 1}
T1115,Clipboard Data,1,{'nolabel': 1}
T1056.001,Input Capture::Keylogging,1,{'nolabel': 1}
T1113,Screen Capture,1,{'nolabel': 1}
T1222,File and Directory Permissions Modification,1,{'nolabel': 1}
T1112,Modify Registry,2,"{'nolabel': 1, 'cobaltstrike': 1}"
T1027.005,Obfuscated Files or Information::Indicator Removal from Tools,2,"{'nolabel': 1, 'registrystorage': 1}"
T1010,Application Window Discovery,1,{'nolabel': 1}
T1614.001,System Location Discovery::System Language Discovery,2,"{'nolabel': 1, 'cobaltstrike': 1}"
T1047,Windows Management Instrumentation,1,{'nolabel': 1}
T1547.001,Boot or Logon Autostart Execution::Registry Run Keys / Startup Folder,1,{'registrystorage': 1}
T1053.005,Scheduled Task/Job::Scheduled Task,1,{'registrystorage': 1}
T1564.003,Hide Artifacts::Hidden Window,1,{'cobaltstrike': 1}
T1497.002,Virtualization/Sandbox Evasion::User Activity Based Checks,1,{'cobaltstrike': 1}
T1562.001,Impair Defenses::Disable or Modify Tools,1,{'convagent': 1}
T1055.004,Process Injection::Asynchronous Procedure Call,1,{'convagent': 1}
T1055.012,Process Injection::Process Hollowing,1,{'convagent': 1}
