Yara name,Number of samples,Family
Windows_API_Function,9,"{'nolabel': 2, 'cobaltstrike': 6, 'pyhacktool': 1}"
HKTL_CobaltStrike_Beacon_Strings,5,"{'nolabel': 1, 'cobaltstrike': 4}"
HKTL_Win_CobaltStrike,5,"{'nolabel': 1, 'cobaltstrike': 4}"
CobaltStrike_C2_Encoded_XOR_Config_Indicator,5,"{'nolabel': 1, 'cobaltstrike': 4}"
Trojan_Raw_Generic_4,4,"{'nolabel': 1, 'cobaltstrike': 3}"
SUSP_XORed_Mozilla,5,"{'nolabel': 1, 'cobaltstrike': 4}"
CobaltStrike_Sleeve_BeaconLoader_VA_x86_o_v4_3_v4_4_v4_5_and_v4_6,2,{'cobaltstrike': 2}
Windows_Trojan_CobaltStrike_f0b627fc,5,"{'nolabel': 1, 'cobaltstrike': 4}"
Windows_Trojan_CobaltStrike_3dc22d14,5,"{'nolabel': 1, 'cobaltstrike': 4}"
Windows_Trojan_Metasploit_7bc0f998,2,{'cobaltstrike': 2}
Windows_Trojan_Metasploit_c9773203,2,{'cobaltstrike': 2}
CobaltStrikeBeacon,5,"{'nolabel': 1, 'cobaltstrike': 4}"
trojan_win_cobaltstrike,5,"{'nolabel': 1, 'cobaltstrike': 4}"
Cobaltbaltstrike_Beacon_x64,3,"{'nolabel': 1, 'cobaltstrike': 2}"
CobaltStrike_MZ_Launcher,3,"{'nolabel': 1, 'cobaltstrike': 2}"
CobaltStrike_Sleeve_BeaconLoader_VA_x64_o_v4_3_v4_4_v4_5_and_v4_6,1,{'cobaltstrike': 1}
Windows_Trojan_CobaltStrike_1787eef5,3,"{'nolabel': 1, 'cobaltstrike': 2}"
Cobaltbaltstrike_Beacon_XORed_x64,1,{'cobaltstrike': 1}
SUSP_PS1_FromBase64String_Content_Indicator,3,{'cobaltstrike': 3}
CobaltStrike_Resources_Command_Ps1_v2_5_to_v3_7_and_Resources_Compress_Ps1_v3_8_to_v4_x,3,{'cobaltstrike': 3}
Cobaltbaltstrike_Beacon_Encoded,1,{'pyhacktool': 1}
CobaltStrike_Resources_Template_Py_v3_3_to_v4_x,1,{'pyhacktool': 1}
CobaltStrike_Sleeve_BeaconLoader_HA_x86_o_v4_3_v4_4_v4_5_and_v4_6,1,{'cobaltstrike': 1}
CobaltStrike_Sleeve_BeaconLoader_MVF_x86_o_v4_3_v4_4_v4_5_and_v4_6,1,{'cobaltstrike': 1}
CobaltStrike_Sleeve_BeaconLoader_x64_o_v4_3_v4_4_v4_5_and_v4_6,2,"{'nolabel': 1, 'cobaltstrike': 1}"
ISO_exec,1,{'cobaltstrike': 1}
Cobaltbaltstrike_Beacon_XORed_x86,1,{'shelma': 1}
CobaltStrike_Resources_Xor_Bin_v2_x_to_v4_x,1,{'shelma': 1}
Methodology_Suspicious_Shortcut_SMB_URL,1,{'-': 1}
INDICATOR_EXE_Packed_Themida,1,{'shelma': 1}
CobaltStrike_Unmodifed_Beacon,1,{'cobaltstrike': 1}
Windows_Trojan_CobaltStrike_c851687a,1,{'cobaltstrike': 1}
Windows_Trojan_CobaltStrike_09b79efa,1,{'cobaltstrike': 1}
Windows_Trojan_CobaltStrike_15f680fb,1,{'cobaltstrike': 1}
Windows_Trojan_CobaltStrike_5b4383ec,1,{'cobaltstrike': 1}
Windows_Trojan_CobaltStrike_91e08059,1,{'cobaltstrike': 1}
Windows_Trojan_CobaltStrike_d00573a3,1,{'cobaltstrike': 1}
PyInstaller,1,{'cobaltstrike': 1}
