Hash,First Time Submission,Last Analysis 1,Label Family 1,Last Analysis 2,Label Family 2
018ef51a2af287a3d665e5057e6367eb0a5d5ef5a807af6c255eba26d20b4ccf,2021-03-08,2022-09-18,rozena,2023-07-03,rozena
064924bf49bd1809d90df0169eb6e354ce8f5b88100bb39b89460c480121fbeb,2021-04-11,2023-05-15,cobaltstrike,2023-07-03,cobaltstrike
080ee6c068e95db7a776793e167fb4bb9ad0efcb424a400ed3efe697400fc73a,2021-06-26,2021-08-25,shelma,2023-07-03,shelma
0a899c337465ddc558b83db800299f685a24827b3471ded984b10e64a942da3f,2021-07-18,2022-03-31,cobaltstrike,2023-07-03,cobaltstrike
0c71dcca7d39fd895a7b772ccd2370fc94f5e34423d87974c49f4d1c24cf103b,2021-03-09,2021-06-25,ryuk,2023-07-03,ryuk
0d032d82dec12b4c35e2724d09ef23f517ee839efd673b26a28cec732ddce343,2022-01-29,2022-05-20,agenttesla,2023-07-03,agenttesla
12735482351d0b7b5018f46f78b124c2c0c39a8a3479c44e73f646ce1bb49f95,2021-11-11,2022-01-13,donoff,2023-07-03,SINGLETON:95e86f13ad08cbf7653ca14ee01a9496
132bdcb986e3e3b9599b5b293b3318e7c630495e87a9d1fa02287ae80f9e652f,2021-03-12,2021-06-11,shelma,2023-07-03,shelma
13c557ea66a10b9198bb66451ea9b7428f284265b3c6c51c28612bea3c7a04f4,2021-10-22,2022-09-16,valyria,2023-07-03,valyria
1429190cf3b36dae7e439b4314fe160e435ea42c0f3e6f45f8a0a33e1e12258f,2021-05-14,2022-06-01,cobaltstrike,2023-07-03,cobaltstrike
18c55bf653816c7ad10210a04085658e6d7919ad041061387647bdda9549917a,2021-07-23,2022-12-29,SINGLETON:7e8cc3e57c7fbde46e82bff601790ef5,2023-07-03,SINGLETON:7e8cc3e57c7fbde46e82bff601790ef5
19f8797dc1c69909d8d0fb563d13e955dc98a1d22fdf8b2c551731323d672505,2009-07-18,2023-06-21,-,2023-07-03,-
