Hash,First Time Submission,Last Analysis 1,Label Family 1,Last Analysis 2,Label Family 2,Type of C2
3ad53495851bafc48caf6d2227a434ca2e0bef9ab3bd40abfe4ea8f318d37bbe,2022-05-21,2023-07-13,brutel,2023-07-19,brutel,BruteRatel
4f88738e04447344100bb9532c239032b86e71d8037ccb121e2959f37fff53cf,2022-12-10,2023-03-13,shellb,2023-07-19,shellb,BruteRatel
d71dc7ba8523947e08c6eec43a726fe75aed248dfd3a7c4f6537224e9ed05f6f,2021-02-28,2023-07-13,brutel,2023-07-19,brutel,BruteRatel
0410a2daba8159f87bce47ee0ee806bae2f7e4d020e1ec9a5755fb3e302fdbf3,2023-07-04,2023-07-06,cobaltstrike,2023-07-19,cobaltstrike,CobaltStrike
0d214808a672a6096734ee1bf66596f7a025e2dd7b9b51dba084d15782de8b4b,2023-05-20,2023-05-25,rozena,2023-07-19,rozena,CobaltStrike
108051f4ef48cef2585d8d31248a751e64ab746028cae0296ca4f90a15ad2b5f,2023-06-12,2023-07-14,cobaltstrike,2023-07-19,cobaltstrike,CobaltStrike
15ef1811e340b32689a63154839dc7585f4fdc4acc7a2433a57c3f3b3c0763ff,2023-07-04,2023-07-09,shlem,2023-07-19,shlem,CobaltStrike
19f1ac569f0eeaf463b668616806a92ad876824d8d786eb703d26390f25e6ba8,2022-06-21,2023-06-30,cobaltstrike,2023-07-19,cobaltstrike,CobaltStrike
25d0bc682d25a43d97a7e010deeb8dfdad80ff9562084333cd6fb99ce8907422,2023-05-26,2023-07-03,cobaltstrike,2023-07-19,cobaltstrike,CobaltStrike
2c683d112d528b63dfaa7ee0140eebc4960fe4fad6292c9456f2fbb4d2364680,2023-06-09,2023-06-16,rozena,2023-07-19,rozena,CobaltStrike
337ba1bd5050c38f5e07f494d4dc0125276b0e0dea09667d86e7d763249c8f30,2023-07-05,2023-07-14,cobaltstrike,2023-07-19,cobaltstrike,CobaltStrike
33c8ee21fb63ede72a217351f7faf1fa81f731dbe8fe46f3e9c9a6dbb6d7a365,2023-06-13,2023-07-12,cobaltstrike,2023-07-19,cobaltstrike,CobaltStrike
34c1447f2bc18265a71260fd20c773301aab0ff700518ab2da8fe0ce9e55a2eb,2023-07-10,2023-07-18,shelma,2023-07-19,shelma,CobaltStrike
3a9430e1b9d36d4a079b2197dd97d51e45adcaaf62bbcd4f06f73c680705a83c,2023-07-07,2023-07-14,cobaltstrike,2023-07-19,cobaltstrike,CobaltStrike
3bac3abbdcd2735ccff4692acd0ba8019e4a22426fcfeaa75c02419357d795a7,2023-07-11,2023-07-13,shlem,2023-07-19,shlem,CobaltStrike
41182cb1d67e92bc21b515ded820077c8068531e57ccd44d27ff30f5c4b9ae5c,2023-07-05,2023-07-07,cobaltstrike,2023-07-19,rozena,CobaltStrike
436ab377919038d7e080365c2ab42e0fe0a5536f77f72466308df088e4ac037e,2023-06-12,2023-07-14,shlem,2023-07-19,shlem,CobaltStrike
44a6bfbe74ebb6955080974ce84771dfbb353989fcb4109f691c9b33fca95cb9,2023-06-29,2023-07-11,cobaltstrike,2023-07-19,cobaltstrike,CobaltStrike
497f6f7e21dd3e9622c7cd9f96bb5359284cd21c24ea3faa99520397b911a08e,2023-07-07,2023-07-15,rozena,2023-07-19,rozena,CobaltStrike
5a268b88ea8b1cad2a07b43e855af3ad4f5e9fb0e1aef21ab4d2a66306c3dca4,2023-06-09,2023-06-17,cobaltstrike,2023-07-19,rozena,CobaltStrike
6269b7ab2f3b4469a4a5840ffad0f4ddf0af9f387a25d227ce3aba38992c5c47,2023-06-20,2023-06-26,cobaltstrike,2023-07-19,pshell,CobaltStrike
6b3be5de40b3f2d063389b53e5fc63950ee2b9aad46d5ecc1e23c546746952b3,2023-07-15,2023-07-19,cobaltstrike,2023-07-19,cobaltstrike,CobaltStrike
6c164e7b8698fe634374181710aa0cfc9316ecb8102ad0ecf4e5e44d9ded50b5,2023-07-16,2023-07-19,cobaltstrike,2023-07-19,SINGLETON:38fb3f3eec92218cf45049625d861d3f,CobaltStrike
6e705467c0c083d343ad4f9e2833cd229605257b034bd3c4ac3342b156fb1594,2023-06-02,2023-06-30,cobaltstrike,2023-07-19,cobaltstrike,CobaltStrike
790154dd50acc1d6c631d9db53d857cb489403b05a741d3954b777d3fec2d9c6,2023-07-05,2023-07-10,cobaltstrike,2023-07-19,cobaltstrike,CobaltStrike
8b70ca880f25f4e03bcac422fb2e6044369bf25d45d9b846db546728d66618a6,2023-07-05,2023-07-13,rozena,2023-07-19,rozena,CobaltStrike
90ef0ec74f1a5d49a9e605387dc8807bc8c6967ccfb5cc94678df73c340385ad,2023-07-09,2023-07-12,rozena,2023-07-19,rozena,CobaltStrike
93bfdfde9a2f2cb9d8f3ff79dd0a04a1fae35c6e769316f5e911c9ab168d2d3c,2023-07-16,2023-07-18,tedy,2023-07-19,tedy,CobaltStrike
9b2b902f5fd53b72cabfcc0e0191c876c92c1c748bcdbb7c00f9d62d7ba76914,2023-06-12,2023-07-12,cobaltstrike,2023-07-19,cobaltstrike,CobaltStrike
aaa46c91130cfbd5b439074e19d9afda0b678e9682c3ddb5ce2d05fcbb562855,2022-06-21,2023-07-03,cobaltstrike,2023-07-19,cobaltstrike,CobaltStrike
b225c6740e94211a16770e0fd1f0118b78a99f428bb7e7d4943b3e290c30b985,2023-07-06,2023-07-15,cobaltstrike,2023-07-19,cobaltstrike,CobaltStrike
b6eb73da6c308532e9f160bcd06bda91799de0cac7a282ff1f404f23ca6b694f,2023-05-23,2023-07-13,cobaltstrike,2023-07-19,redcap,CobaltStrike
c0b4b7b1183401644c556b5cc8e92c0f13970a370fca43635785f65f81e9a1d5,2023-07-15,2023-07-19,cobaltstrike,2023-07-19,cobaltstrike,CobaltStrike
c879b4f8bd38ddc5797d625effb573e7478dbc57efb3c99593c2a5a98d12b641,2023-07-05,2023-07-10,cobaltstrike,2023-07-19,cobaltstrike,CobaltStrike
d3bd4efe6795d73420f670212e364814b03e8e844b351518a76703c0ff22c68d,2023-07-17,2023-07-19,cobaltstrike,2023-07-19,cobaltstrike,CobaltStrike
ea5632822d50a8da913a750da7f1e379ecc0af3395ef9bf47f2fb198f5e6df25,2023-07-02,2023-07-04,rozena,2023-07-19,rozena,CobaltStrike
eabb8e162f4c30c1157b0a4758ca5076f18cf4e31d7571020635dedd8d51c795,2023-06-21,2023-07-06,cobaltstrike,2023-07-19,cobaltstrike,CobaltStrike
ec621d8d37fd8e0032228b3d756f2dc557f22b9b7e9fa02d3c53106d63644748,2023-05-24,2023-06-25,jobutyve,2023-07-19,mint,CobaltStrike
f0851c538e61353570d558ef39be103b8ddb5427e33f9e8b4ab991ea34a5942c,2023-06-20,2023-07-18,leonem,2023-07-19,SINGLETON:b2fde536e23d94f84ed3ecf3ccb1d295,CobaltStrike
f9d6bf219602f987be31d47917824960cdf466d4be2df33768b9f939054d0928,2023-07-07,2023-07-12,shellcoderunner,2023-07-19,shellcoderunner,CobaltStrike
fcb4d3bcaefcdffd70a72c9680090f72bb70a90d61c67e2a76b1f8a54818c70a,2023-06-30,2023-07-03,cobaltstrike,2023-07-19,cobaltstrike,CobaltStrike
b95781c20c5a77c56384ae5f239aff908709dd4502437801d880f7702e2da862,2023-05-29,2023-06-01,covent,2023-07-19,grunt,Covenant
06d933b141bdb7cbd349deb355092adecf43d70c95c1f130908b4655e605d751,2023-07-13,2023-07-15,msilzilla,2023-07-19,msilzilla,MetaSploit
281f7edc9ed294b8a1589b8377edc747aaa6ebdaf173dadc96e12c77e7a7a4b3,2022-04-27,2023-07-17,rozena,2023-07-19,rozena,MetaSploit
28fd3a1d9087d7b103b7f6cfca002798b6365fe6ebcc66fa02dbb4a9e6378e71,2016-12-07,2023-06-30,petya,2023-07-19,petya,MetaSploit
2c1202010c1914e517f2d1303c82283286adbf56be408d0facadcba5154598fe,2023-06-30,2023-07-02,shelma,2023-07-19,shelma,MetaSploit
2f6c15714bff3a5c6761ef2f1e61af96fac718abacefdb4e74c9a94ab5974600,2023-05-20,2023-06-21,rozena,2023-07-19,rozena,MetaSploit
3185876cb0717e3d8d6afadc8cbb2d439ad01cc3f4e172936b0d0ebc398c082c,2023-05-25,2023-06-07,valyria,2023-07-19,valyria,MetaSploit
35f634a00e48d1431c6845e2b72fdc79b373e7d905c6a79b0ed4755b4e8b023b,2023-06-01,2023-06-30,cobaltstrike,2023-07-19,cobaltstrike,MetaSploit
44b65f19cc2ad9f897269fb9b02b9266718e9bd911e67ca0fb48b638d3627a6c,2023-07-06,2023-07-06,SINGLETON:d97066e13423d249fdceadb62db460e0,2023-07-19,SINGLETON:d97066e13423d249fdceadb62db460e0,MetaSploit
4549cb2e8379c4ebe89d845e669c54bf84ca05f594fc58a8cf81436188a9ce0a,2023-07-05,2023-07-07,meterpreter,2023-07-19,rozena,MetaSploit
517c28639a180fd2e1acdb0142f126ad90ce46333096e07f5064adc1a0b48292,2023-06-10,2023-06-16,rozena,2023-07-19,rozena,MetaSploit
568fd0475023168370fa2fd1d4467b3eaa41cd320b142a092f5496b93cd03298,2023-05-20,2023-05-23,rozena,2023-07-19,rozena,MetaSploit
5a701e7086350c67b542a0ba59076be8b66537ca14eecbe9815d266c42856f44,2023-05-20,2023-05-23,shelma,2023-07-19,shelma,MetaSploit
5f4740ee065cca602b02be671fb078b63bb5fe2f733614c7207a87ab9b9454dd,2023-05-20,2023-06-21,rozena,2023-07-19,rozena,MetaSploit
73f23c2fce59ad359661302bf39adcfbc522fd80208fb5f22cd69fdde40ae3f8,2023-05-20,2023-05-24,shelma,2023-07-19,shelma,MetaSploit
77373a2d0c22152cf281cbedf8d8e8f71b70e3196faa6f3d8fa5392bd25109a9,2023-05-20,2023-06-21,rozena,2023-07-19,rozena,MetaSploit
77e5b41845ef18bf4281a89a19b9da9f7f2949f92d07d68ed85ff25b31061ff1,2023-05-20,2023-05-23,rozena,2023-07-19,rozena,MetaSploit
785b5a5a7e290b1a00edf82a373b05dda47f252ec91ec64659b64eb98f9cba7a,2023-05-31,2023-06-02,rozena,2023-07-19,shella,MetaSploit
7f5b0d5a1a15c2fd6534803134d1995958ad487fc718b5ef54314c3a8de1724d,2023-05-31,2023-06-02,rozena,2023-07-19,shella,MetaSploit
7ff11ca6d119185d7ebdfb1d5a2e88cffda19f13e4b582aa5463e1b3bc763938,2023-05-21,2023-05-23,rozena,2023-07-19,rozena,MetaSploit
8012df1d348d1fd3a17244e9582a9d6f6057332a2391c9abc68a2b67a1426f89,2023-05-24,2023-05-25,rozena,2023-07-19,rozena,MetaSploit
84e917adbd398c3758c2dda4b348f2604c24075bf4986f37cf11a6e7c6ee44c6,2023-06-29,2023-06-29,pshell,2023-07-19,rozena,MetaSploit
8897994e897bb1b2d22188d332ea972eff725b3b02b9dab0e5b5e73ab60d79c4,2023-05-03,2023-07-12,bobik,2023-07-19,bobik,MetaSploit
