CobaltStrike,,MetaSploit,
cobaltstrike,68,msilzilla,1
rozena,16,rozena,93
pyhacktool,1,shelma,7
wingo,1,meterpreter,4
shlem,3,cobaltstrike,8
SINGLETON:34122f00b3e102174e775d47d71a6a5f,1,valyria,2
SINGLETON:989f5673c00d7070e9ad424921cb2bb5,1,SINGLETON:957e28fc709cb719c32d4f13d95923ba,1
SINGLETON:6e48c62d75c15044b162ca5b2f78747b,1,petya,1
encdoc,1,SINGLETON:2e2c1d6ad0382323610eb34e4e07497e,1
SINGLETON:d223ac403e9ac14ae07b6edfeb018deb,1,SINGLETON:1025b2ef4b2904353bd4a8c14a1d1c12,1
ulise,1,shlem,3
SINGLETON:23fdd52db555e4b7cd788e94582c3145,1,SINGLETON:d97066e13423d249fdceadb62db460e0,1
SINGLETON:994ed27b453cc66937b36f8f4c1df4e4,1,sharps,3
shelma,2,sdbot,1
SINGLETON:67ab35b37976626325729a1f9ebb6536,1,SINGLETON:bad041f27a57d38109345bc33acad3c9,1
msilzilla,1,dealply,1
SINGLETON:65247221e9addff22b50070ba1893bb6,1,shella,1
shellcoderunner,1,malheur,1
tedy,1,SINGLETON:b58ee68e38db41f8dfd6fcbae71306f8,1
runner,1,metasploit,3
meterpreter,1,registrystorage,1
SINGLETON:ec5071963e2367e037a45fab530a5458,1,SINGLETON:6989adaafcb5fe60879868fb1a73b1db,1
gamarue,1,vobfus,1
-,1,SINGLETON:2d14fc0abc9432b32d79353b89b9c294,1
,,SINGLETON:ad178335b7683df465a50a84b3d7abcd,1
,,zard,1
,,convagent,1
