Domain Name,Date Analyzsed,Last Analysis Date,Last Update Date,Creation Date,Last Http Certificate Date,Last Dns Records Date,Ransomware name
m.4399api.com,"['220524', '220524']",2023-04-27 08:38:38,2022-07-29 16:28:50,2010-09-22 08:48:21,2023-04-27 08:43:55,2023-04-27 08:43:55,"['2scxnsagb9', '2scxnsagb9']"
plbslog.umeng.com.gds.alibabadns.com,"['220524', '220524', '220524']",2023-04-27 12:17:21,2023-01-06 07:00:12,2013-03-18 14:31:07,2023-04-27 12:22:31,2023-04-27 12:22:31,"['2kdh8sadg5', '2scxnsagb9', '3ahwmsfbgl']"
m.4399api.com.lxdns.com,['220524'],2023-04-26 06:38:35,2022-07-21 10:03:00,2006-08-04 12:20:49,2023-04-26 06:43:37,2023-04-26 06:43:37,['2scxnsagb9']
api.myip.com,"['220524', '220524']",2023-04-27 12:27:15,2021-06-03 14:23:57,1996-07-04 13:00:00,2023-04-27 12:32:15,2023-04-27 12:32:15,"['1zlmqaheg2', '1zlmqaheg2']"
au.c-0001.c-msedge.net,['220524'],2023-04-27 02:38:00,2023-02-02 18:42:15,2014-03-07 07:15:20,2023-04-27 02:43:01,2023-04-27 02:43:01,['1zlmqaheg2']
ugll.org,"['220524', '220524', '220524', '220524']",2023-04-23 15:32:29,2023-02-03 02:39:17,2021-11-24 22:33:21,,2022-06-02 17:23:39,"['3cacaabde9', '3d8w8sfdam', '3cacaabde9', '3d8w8sfdam']"
xzfsdk.zhangxhy.com,"['220524', '220524']",2023-01-13 06:26:58,2022-10-14 03:05:22,2022-10-13 09:00:00,,2022-05-04 19:06:30,"['1ws8dsdddq', '2kdh8sadg5']"
union4399cn.5054399.com,['220524'],2023-04-26 06:38:35,2022-07-30 01:49:06,2010-03-22 17:06:25,2023-04-26 06:43:38,2023-04-26 06:43:38,['2scxnsagb9']
api.lopads.com,['220524'],2023-01-10 18:46:58,2022-10-10 14:55:57,2018-10-11 11:28:41,2022-03-14 11:25:53,2023-01-10 18:52:05,['3ahwmsfbgl']
www.microsoft.com-c-3.edgekey.net.globalredir.akadns.net,['220524'],2023-04-26 23:31:39,2022-10-29 04:55:01,1999-05-13 06:15:16,2023-04-26 23:36:40,2023-04-26 23:36:40,['1zlmqaheg2']
entrance.global-ipool.com,"['220524', '220524']",,2022-01-06 12:58:25,2019-11-01 16:28:57,,2022-05-17 10:45:34,"['3ahwmsfbgl', '3ahwmsfbgl']"
v.whatsapp.net,"['220524', '220524']",2023-04-27 03:22:01,2023-02-23 05:05:53,2009-02-20 09:48:09,2023-04-27 03:27:02,2023-04-27 03:27:02,"['3ahwmsfbgl', '3ahwmsfbgl']"
alt8.mobile-gtalk4.l.google.com,"['220524', '220524', '220524', '220524']",,2019-09-10 00:39:04,1997-09-15 16:00:00,2021-12-10 14:55:17,2021-12-10 14:55:17,"['1vjmkadchr', '27menabbg9', '2scxnsagb9', '3ahwmsfbgl']"
semanticlocation-pa.googleapis.com,"['220524', '220524', '220524', '220524', '220524', '220524', '220524', '220524', '220524']",2023-04-26 06:18:03,2022-12-24 18:26:34,2005-01-26 02:52:26,2023-04-26 06:18:04,2023-04-26 06:18:04,"['1vjmkadchr', '1ws8dsdddq', '27menabbg9', '2scxnsagb9', '3ahwmsfbgl', '1vjmkadchr', '1ws8dsdddq', '27menabbg9', '2scxnsagb9']"
mail.porathacorp.com,"['220524', '220524']",2023-03-20 16:15:02,2019-03-21 09:11:17,2007-03-20 10:35:24,2023-03-20 16:17:30,2023-03-20 16:17:30,"['3g43fsbfe3', '3g43fsbfe3']"
api.2ip.ua,"['220524', '220524', '220524', '220524']",2023-04-27 07:47:47,,,2023-04-27 07:52:50,2023-04-27 07:52:50,"['3cacaabde9', '3d8w8sfdam', '3cacaabde9', '3d8w8sfdam']"
e13678.dscb.akamaiedge.net,['220524'],2023-04-26 23:31:39,2022-10-29 04:55:01,2001-10-04 11:46:49,2023-04-26 23:36:40,2023-04-26 23:36:40,['1zlmqaheg2']
hxr.0512hlf.cn,['220524'],2022-10-13 20:45:49,,,,2020-07-25 02:26:50,['2kdh8sadg5']
mmx-ds.cdn.whatsapp.net,['220524'],2023-04-27 09:29:01,2023-02-23 05:05:53,2009-02-20 09:48:09,2023-04-27 09:34:02,2023-04-27 09:34:02,['3ahwmsfbgl']
alt4-mtalk.google.com,"['220524', '220524', '220524', '220524']",2022-11-28 18:14:09,2019-09-10 00:39:04,1997-09-15 16:00:00,2022-11-28 18:14:10,2022-11-28 18:14:10,"['2scxnsagb9', '3ahwmsfbgl', '2scxnsagb9', '3ahwmsfbgl']"
alt4.mobile-gtalk4.l.google.com,"['220524', '220524']",,2019-09-10 00:39:04,1997-09-15 16:00:00,2021-12-10 14:54:13,2021-12-10 14:54:13,"['2scxnsagb9', '3ahwmsfbgl']"
www.palmfunplay.cn,['220524'],2023-04-27 05:50:01,,,2022-01-01 22:26:50,2022-02-16 02:01:23,['2kdh8sadg5']
cs10.wpc.v0cdn.net,['220524'],2023-04-25 13:10:49,2022-09-12 21:39:29,2011-02-10 04:59:25,2023-04-25 13:16:01,2023-04-25 13:16:01,['1zlmqaheg2']
download.visualstudio.microsoft.com,"['220524', '220524']",2023-04-27 13:05:39,2023-04-01 20:51:08,1991-05-02 13:00:00,2023-04-27 13:10:40,2023-04-27 13:10:40,"['1zlmqaheg2', '1zlmqaheg2']"
linux.the-x.cn,['220524'],2023-04-27 05:50:01,,,2023-04-27 05:55:09,2023-04-27 05:55:09,['2kdh8sadg5']
d.angshuwl.com,"['220524', '220524']",2023-04-27 02:18:07,2023-01-11 01:24:57,2017-11-07 12:41:22,2023-04-27 02:23:13,2023-04-27 02:23:13,"['1ws8dsdddq', '2kdh8sadg5']"
sls.update.microsoft.com,"['220524', '220524']",2023-04-27 08:04:48,2023-04-01 20:51:08,1991-05-02 13:00:00,2023-04-27 08:09:50,2023-04-27 08:09:50,"['1zlmqaheg2', '1zlmqaheg2']"
mmg.whatsapp.net,['220524'],2023-04-27 02:38:57,2023-02-23 05:05:53,2009-02-20 09:48:09,2023-04-27 02:38:58,2023-04-27 02:38:58,['3ahwmsfbgl']
clients.l.google.com,"['220524', '220524']",2023-04-26 21:21:05,2019-09-10 00:39:04,1997-09-15 16:00:00,2023-04-26 21:26:06,2023-04-26 21:26:06,"['1ws8dsdddq', '2scxnsagb9']"
download.windowsupdate.com,"['220524', '220524']",2023-04-27 07:21:27,2022-07-17 20:25:56,1997-07-22 13:00:00,2023-04-27 07:26:28,2023-04-27 07:26:28,"['1zlmqaheg2', '1zlmqaheg2']"
android.apis.google.com,"['220524', '220524', '220524', '220524']",2023-04-27 02:04:30,2019-09-10 00:39:04,1997-09-15 16:00:00,2023-04-27 02:09:31,2023-04-27 02:09:31,"['1ws8dsdddq', '2scxnsagb9', '1ws8dsdddq', '2scxnsagb9']"
wu-fg-shim.trafficmanager.net,['220524'],2023-03-20 19:24:19,2022-10-24 18:36:15,2005-11-25 09:16:41,2023-03-20 19:24:20,2023-03-20 19:24:20,['1zlmqaheg2']
c-0001.c-msedge.net,['220524'],2023-04-26 17:23:10,2023-02-02 18:42:15,2014-03-07 07:15:20,2023-04-26 17:28:11,2023-04-26 17:28:11,['1zlmqaheg2']
union.4399.cn,"['220524', '220524']",2023-04-27 08:38:38,,,2023-04-27 08:43:57,2023-04-27 08:43:57,"['2scxnsagb9', '2scxnsagb9']"
api.ipify.org.herokudns.com,"['220524', '220524', '220524', '220524']",2023-02-13 17:20:39,2023-02-27 18:04:29,2016-03-31 03:30:37,,2023-02-13 17:20:40,"['2aa1csaae8', '2lm43aaeb9', '3g43fsbfe3', '3gjrhsbfc7']"
www.googlesdk.net,['220524'],,2022-04-20 13:00:16,2020-04-19 12:09:55,,2022-05-02 10:05:22,['3ahwmsfbgl']
glb.sls.prod.dcat.dsp.trafficmanager.net,['220524'],2023-02-08 19:24:53,2022-10-24 18:36:15,2005-11-25 09:16:41,2023-02-08 19:24:56,2023-02-08 19:24:56,['1zlmqaheg2']
visualstudio.download.prss.trafficmanager.net,['220524'],2023-02-28 12:39:00,2022-10-24 18:36:15,2005-11-25 09:16:41,2023-02-28 12:44:03,2023-02-28 12:44:03,['1zlmqaheg2']
www.microsoft.com,"['220524', '220524']",2023-04-27 09:00:28,2023-04-01 20:51:08,1991-05-02 13:00:00,2023-04-27 09:05:30,2023-04-27 09:05:30,"['1zlmqaheg2', '1zlmqaheg2']"
t.me,"['220524', '220524', '220524', '220524']",2023-04-27 09:01:47,2022-05-21 19:08:54,2010-05-21 03:50:32,2023-04-27 09:02:00,2023-04-27 09:02:00,"['3cacaabde9', '3d8w8sfdam', '3cacaabde9', '3d8w8sfdam']"
lumtest.com,"['220524', '220524']",2023-04-27 05:29:45,2022-11-02 08:21:51,2015-10-28 19:17:02,2023-04-27 05:34:56,2023-04-27 05:34:56,"['3ahwmsfbgl', '3ahwmsfbgl']"
yueyoufw.ldtang.com,['220524'],2023-04-27 02:09:45,2022-11-16 17:49:15,2017-03-13 16:25:58,,,['2kdh8sadg5']
www.microsoft.com-c-3.edgekey.net,['220524'],2023-04-26 23:31:39,2022-10-29 04:55:01,2001-10-04 11:44:53,2023-04-26 23:36:40,2023-04-26 23:36:40,['1zlmqaheg2']
union.4399.cn.lxdns.com,['220524'],2023-04-26 06:38:35,2022-07-21 10:03:00,2006-08-04 12:20:49,2023-04-26 06:43:36,2023-04-26 06:43:36,['2scxnsagb9']
hxyt.yly0d.cn,['220524'],2023-02-01 12:58:51,,,,2020-01-31 18:59:02,['2kdh8sadg5']
alt8-mtalk.google.com,"['220524', '220524', '220524', '220524', '220524', '220524', '220524', '220524']",2022-09-28 01:48:13,2019-09-10 00:39:04,1997-09-15 16:00:00,2022-09-28 01:48:16,2022-09-28 01:48:16,"['1vjmkadchr', '27menabbg9', '2scxnsagb9', '3ahwmsfbgl', '1vjmkadchr', '27menabbg9', '2scxnsagb9', '3ahwmsfbgl']"
ajax.the-x.cn,"['220524', '220524']",2023-04-27 02:09:45,,,2023-04-27 02:14:59,2023-04-27 02:14:59,"['2kdh8sadg5', '2kdh8sadg5']"
plbslog.umeng.com,"['220524', '220524', '220524', '220524', '220524', '220524']",2023-04-27 09:08:33,2023-03-02 23:00:07,2005-11-30 04:19:43,2023-04-27 09:13:40,2023-04-27 09:13:40,"['2kdh8sadg5', '2scxnsagb9', '3ahwmsfbgl', '2kdh8sadg5', '2scxnsagb9', '3ahwmsfbgl']"
www.tikocode.com,"['220524', '220524']",,2022-01-06 12:44:46,2020-03-18 20:34:25,2022-05-27 05:58:56,2022-05-27 05:58:56,"['3ahwmsfbgl', '3ahwmsfbgl']"
porathacorp.com,"['220524', '220524']",2023-02-16 21:28:22,2019-03-21 09:11:17,2007-03-20 10:35:24,2023-02-16 21:28:31,2023-02-16 21:28:31,"['3g43fsbfe3', '3g43fsbfe3']"
4316b.wpc.azureedge.net,['220524'],2023-02-28 12:39:00,2022-12-21 18:39:10,2014-01-23 01:14:52,2023-02-28 12:44:05,2023-02-28 12:44:05,['1zlmqaheg2']
api.ipify.org,"['220524', '220524', '220524', '220524', '220524', '220524', '220524', '220524']",2023-04-27 03:16:08,2023-02-02 19:41:48,2014-01-06 07:02:15,2023-04-27 03:21:12,2023-04-27 03:21:12,"['2aa1csaae8', '2lm43aaeb9', '3g43fsbfe3', '3gjrhsbfc7', '2aa1csaae8', '2lm43aaeb9', '3g43fsbfe3', '3gjrhsbfc7']"
www.kakaocorp.link,"['220524', '220524', '220524', '220524']",2023-04-24 09:58:43,2022-11-17 11:16:25,2020-12-17 05:53:43,2023-04-24 10:03:45,2023-04-24 10:03:45,"['2dl7ssabg4', '2qlrsseefq', '2dl7ssabg4', '2qlrsseefq']"
zerit.top,"['220524', '220524', '220524', '220524']",2023-04-25 08:40:39,2022-11-06 22:15:48,2021-10-01 02:36:04,,2022-06-10 22:20:50,"['3cacaabde9', '3d8w8sfdam', '3cacaabde9', '3d8w8sfdam']"
mail.privateemail.com,"['220524', '220524']",2023-04-26 19:10:52,2022-11-22 15:23:56,2003-05-15 03:29:33,2023-04-26 19:16:00,2023-04-26 19:16:00,"['2lm43aaeb9', '2lm43aaeb9']"
,,,,,,,
