IP,Domain,Port,Country,City,Vulns
52.206.15.159,['amazonaws.com'],80,United States,Ashburn,"['CVE-2019-1559', 'CVE-2022-0778', 'CVE-2021-34798', 'CVE-2018-5407', 'CVE-2022-29404', 'CVE-2022-22721', 'CVE-2022-4304', 'CVE-2023-27522', 'CVE-2006-20001', 'CVE-2019-1563', 'CVE-2022-28330', 'CVE-2017-3736', 'CVE-2017-3737', 'CVE-2019-1547', 'CVE-2017-3735', 'CVE-2021-44224', 'CVE-2017-3738', 'CVE-2021-33193', 'CVE-2022-22720', 'CVE-2022-2068', 'CVE-2021-3712', 'CVE-2022-31813', 'CVE-2022-37436', 'CVE-2021-4160', 'CVE-2021-40438', 'CVE-2018-0737', 'CVE-2018-0734', 'CVE-2021-36160', 'CVE-2018-0732', 'CVE-2022-23943', 'CVE-2021-23840', 'CVE-2021-23841', 'CVE-2023-0286', 'CVE-2018-0739', 'CVE-2020-1968', 'CVE-2022-36760', 'CVE-2023-25690', 'CVE-2020-1971', 'CVE-2019-1552', 'CVE-2021-44790', 'CVE-2019-1551', 'CVE-2022-26377', 'CVE-2022-28614', 'CVE-2023-0215', 'CVE-2022-1292', 'CVE-2022-22719', 'CVE-2022-28615', 'CVE-2022-30556', 'CVE-2021-39275']"
3.20.69.151,"['amazonaws.com', 'winweb.com']",443,United States,Hilliard,"['CVE-2020-1934', 'CVE-2021-34798', 'CVE-2022-29404', 'CVE-2021-33193', 'CVE-2023-27522', 'CVE-2006-20001', 'CVE-2022-28330', 'CVE-2020-11993', 'CVE-2021-44224', 'CVE-2022-22721', 'CVE-2022-22720', 'CVE-2019-17567', 'CVE-2022-31813', 'CVE-2022-37436', 'CVE-2021-40438', 'CVE-2021-36160', 'CVE-2022-23943', 'CVE-2020-1927', 'CVE-2022-36760', 'CVE-2023-25690', 'CVE-2020-9490', 'CVE-2020-11984', 'CVE-2021-44790', 'CVE-2021-26690', 'CVE-2021-26691', 'CVE-2022-26377', 'CVE-2020-35452', 'CVE-2020-13938', 'CVE-2020-13950', 'CVE-2022-30556', 'CVE-2021-39275', 'CVE-2022-28615', 'CVE-2022-28614', 'CVE-2022-22719']"
64.79.131.4,['northwestpipe.com'],80,United States,San Francisco,"['CVE-2018-10549', 'CVE-2018-10548', 'CVE-2018-10545', 'CVE-2017-7679', 'CVE-2018-10546', 'CVE-2015-0231', 'CVE-2015-0232', 'CVE-2006-3011', 'CVE-2006-5752', 'CVE-2018-10547', 'CVE-2016-5773', 'CVE-2022-31813', 'CVE-2016-5771', 'CVE-2016-5770', 'CVE-2018-20783', 'CVE-2016-4070', 'CVE-2013-6712', 'CVE-2007-1380', 'CVE-2013-1862', 'CVE-2016-6174', 'CVE-2011-1148', 'CVE-2011-4317', 'CVE-2016-9137', 'CVE-2015-6831', 'CVE-2015-6832', 'CVE-2015-6833', 'CVE-2015-6834', 'CVE-2015-6835', 'CVE-2015-6836', 'CVE-2015-6837', 'CVE-2015-6838', 'CVE-2018-19520', 'CVE-2016-7478', 'CVE-2017-7890', 'CVE-2007-3799', 'CVE-2007-1743', 'CVE-2014-0207', 'CVE-2018-17082', 'CVE-2013-5704', 'CVE-2016-1903', 'CVE-2013-7327', 'CVE-2007-1375', 'CVE-2007-1376', 'CVE-2008-0005', 'CVE-2010-1130', 'CVE-2010-0434', 'CVE-2010-1452', 'CVE-2015-4604', 'CVE-2014-8626', 'CVE-2014-8142', 'CVE-2017-7963', 'CVE-2006-4812', 'CVE-2022-30556', 'CVE-2014-3587', 'CVE-2015-1351', 'CVE-2015-1352', 'CVE-2016-7412', 'CVE-2011-3368', 'CVE-2016-6290', 'CVE-2012-4558', 'CVE-2016-10161', 'CVE-2022-22721', 'CVE-2022-22720', 'CVE-2010-4697', 'CVE-2014-9912', 'CVE-2010-4699', 'CVE-2017-9224', 'CVE-2007-5000', 'CVE-2014-3981', 'CVE-2007-0910', 'CVE-2016-6289', 'CVE-2014-3478', 'CVE-2018-1301', 'CVE-2018-1302', 'CVE-2018-1303', 'CVE-2007-1701', 'CVE-2014-9652', 'CVE-2016-5094', 'CVE-2016-5095', 'CVE-2014-3670', 'CVE-2019-9641', 'CVE-2009-4418', 'CVE-2014-2270', 'CVE-2016-5772', 'CVE-2016-4537', 'CVE-2007-2748', 'CVE-2016-4538', 'CVE-2016-4539', 'CVE-2019-9021', 'CVE-2007-1885', 'CVE-2007-1884', 'CVE-2007-5898', 'CVE-2007-5899', 'CVE-2014-9767', 'CVE-2007-1888', 'CVE-2015-4644', 'CVE-2007-4660', 'CVE-2012-2386', 'CVE-2015-4643', 'CVE-2015-4642', 'CVE-2007-1396', 'CVE-2007-2844', 'CVE-2007-1718', 'CVE-2007-1717', 'CVE-2007-1710', 'CVE-2016-6291', 'CVE-2006-4625', 'CVE-2014-5459', 'CVE-2008-5658', 'CVE-2014-0118', 'CVE-2015-8874', 'CVE-2008-5557', 'CVE-2008-5498', 'CVE-2022-28330', 'CVE-2012-2311', 'CVE-2014-2497', 'CVE-2009-3292', 'CVE-2009-3293', 'CVE-2009-3291', 'CVE-2011-3182', 'CVE-2007-3007', 'CVE-2006-7243', 'CVE-2007-6388', 'CVE-2007-1864', 'CVE-2015-8865', 'CVE-2022-22719', 'CVE-2016-5768', 'CVE-2016-5769', 'CVE-2007-4441', 'CVE-2007-3304', 'CVE-2007-1883', 'CVE-2012-2143', 'CVE-2012-1171', 'CVE-2012-1172', 'CVE-2007-4840', 'CVE-2019-9639', 'CVE-2019-9638', 'CVE-2019-9637', 'CVE-2007-4783', 'CVE-2007-4782', 'CVE-2007-1741', 'CVE-2007-1742', 'CVE-2007-4784', 'CVE-2015-4601', 'CVE-2015-4600', 'CVE-2015-4603', 'CVE-2015-4602', 'CVE-2015-4605', 'CVE-2011-1153', 'CVE-2011-4718', 'CVE-2011-1092', 'CVE-2014-0237', 'CVE-2014-0236', 'CVE-2016-5096', 'CVE-2011-0419', 'CVE-2014-0231', 'CVE-2009-2687', 'CVE-2016-4543', 'CVE-2016-4542', 'CVE-2016-4541', 'CVE-2016-4540', 'CVE-2009-1956', 'CVE-2014-0238', 'CVE-2016-5399', 'CVE-2021-39275', 'CVE-2011-2483', 'CVE-2007-4662', 'CVE-2007-4663', 'CVE-2010-0425', 'CVE-2015-4116', 'CVE-2007-4659', 'CVE-2007-4658', 'CVE-2016-10712', 'CVE-2008-1384', 'CVE-2007-4657', 'CVE-2015-5589', 'CVE-2007-4652', 'CVE-2015-4599', 'CVE-2007-5900', 'CVE-2015-4598', 'CVE-2011-0708', 'CVE-2014-2020', 'CVE-2016-7132', 'CVE-2016-7131', 'CVE-2016-7130', 'CVE-2007-6750', 'CVE-2007-3997', 'CVE-2007-3996', 'CVE-2015-4022', 'CVE-2007-1825', 'CVE-2015-4024', 'CVE-2015-4026', 'CVE-2016-10158', 'CVE-2016-10159', 'CVE-2007-3998', 'CVE-2016-8743', 'CVE-2012-3365', 'CVE-2014-3487', 'CVE-2014-3480', 'CVE-2007-2509', 'CVE-2007-1521', 'CVE-2009-5016', 'CVE-2015-3329', 'CVE-2009-4018', 'CVE-2013-2110', 'CVE-2012-0031', 'CVE-2017-9788', 'CVE-2015-3412', 'CVE-2018-7584', 'CVE-2007-1413', 'CVE-2007-1001', 'CVE-2011-1471', 'CVE-2011-1470', 'CVE-2022-28615', 'CVE-2022-28614', 'CVE-2007-1890', 'CVE-2017-7272', 'CVE-2015-3183', 'CVE-2018-14883', 'CVE-2011-2202', 'CVE-2016-7418', 'CVE-2007-4586', 'CVE-2016-7414', 'CVE-2016-7416', 'CVE-2016-7417', 'CVE-2016-7411', 'CVE-2008-0599', 'CVE-2016-7413', 'CVE-2007-2872', 'CVE-2011-0421', 'CVE-2012-2688', 'CVE-2007-1700', 'CVE-2012-2687', 'CVE-2015-8994', 'CVE-2015-4021', 'CVE-2015-2348', 'CVE-2015-8838', 'CVE-2015-4025', 'CVE-2015-8835', 'CVE-2007-1824', 'CVE-2009-2626', 'CVE-2012-1823', 'CVE-2013-1635', 'CVE-2016-4975', 'CVE-2013-1824', 'CVE-2013-6420', 'CVE-2022-31628', 'CVE-2022-31629', 'CVE-2015-2783', 'CVE-2015-2787', 'CVE-2007-1581', 'CVE-2015-3411', 'CVE-2016-9934', 'CVE-2017-11143', 'CVE-2017-11142', 'CVE-2017-11145', 'CVE-2017-11144', 'CVE-2009-1890', 'CVE-2007-1582', 'CVE-2007-1583', 'CVE-2007-4825', 'CVE-2011-4415', 'CVE-2009-0754', 'CVE-2011-1939', 'CVE-2007-3847', 'CVE-2009-1891', 'CVE-2011-1398', 'CVE-2007-6203', 'CVE-2014-4670', 'CVE-2007-1452', 'CVE-2014-3515', 'CVE-2009-1195', 'CVE-2011-3192', 'CVE-2022-29404', 'CVE-2016-3185', 'CVE-2011-3607', 'CVE-2014-0226', 'CVE-2007-0988', 'CVE-2007-2727', 'CVE-2009-3095', 'CVE-2013-4635', 'CVE-2010-0408', 'CVE-2015-9253', 'CVE-2016-5387', 'CVE-2015-8873', 'CVE-2015-8877', 'CVE-2015-5590', 'CVE-2008-2168', 'CVE-2015-8879', 'CVE-2014-9425', 'CVE-2014-9427', 'CVE-2014-9426', 'CVE-2014-0098', 'CVE-2008-4107', 'CVE-2018-15132', 'CVE-2016-7124', 'CVE-2016-7125', 'CVE-2016-7126', 'CVE-2016-7127', 'CVE-2016-7128', 'CVE-2016-7129', 'CVE-2011-3267', 'CVE-2017-11628', 'CVE-2017-12933', 'CVE-2011-3268', 'CVE-2008-2050', 'CVE-2008-2051', 'CVE-2015-2331', 'CVE-2007-1835', 'CVE-2012-2336', 'CVE-2016-5114', 'CVE-2016-4343', 'CVE-2016-4342', 'CVE-2007-2510', 'CVE-2008-5814', 'CVE-2015-0228', 'CVE-2006-5465', 'CVE-2009-3557', 'CVE-2015-3330', 'CVE-2016-3142', 'CVE-2008-2939', 'CVE-2016-3141', 'CVE-2017-9798', 'CVE-2007-4465', 'CVE-2014-9705', 'CVE-2013-4248', 'CVE-2007-1461', 'CVE-2011-1468', 'CVE-2011-1469', 'CVE-2011-1466', 'CVE-2011-1467', 'CVE-2011-1464', 'CVE-2015-4148', 'CVE-2015-8935', 'CVE-2015-4147', 'CVE-2009-3555', 'CVE-2012-0057', 'CVE-2017-3167', 'CVE-2012-0053', 'CVE-2012-0883', 'CVE-2017-3169', 'CVE-2009-3558', 'CVE-2021-44790', 'CVE-2018-14851', 'CVE-2011-3639', 'CVE-2013-6501', 'CVE-2013-1643', 'CVE-2021-34798', 'CVE-2011-4885', 'CVE-2007-1285', 'CVE-2018-19396', 'CVE-2018-19395', 'CVE-2012-2376', 'CVE-2010-3870', 'CVE-2012-0831', 'CVE-2010-4409', 'CVE-2013-6438', 'CVE-2007-6039', 'CVE-2014-3597', 'CVE-2012-3450', 'CVE-2006-5706', 'CVE-2008-5624', 'CVE-2008-5625', 'CVE-2008-2384', 'CVE-2014-9653', 'CVE-2019-9023', 'CVE-2019-9020', 'CVE-2007-3378', 'CVE-2019-9024', 'CVE-2016-5093', 'CVE-2007-0909', 'CVE-2007-0908', 'CVE-2016-6292', 'CVE-2016-6295', 'CVE-2016-6294', 'CVE-2016-6297', 'CVE-2016-6296', 'CVE-2009-3094', 'CVE-2008-2364', 'CVE-2007-0905', 'CVE-2007-0907', 'CVE-2007-0906', 'CVE-2006-20001', 'CVE-2015-0273', 'CVE-2016-9138', 'CVE-2016-10397', 'CVE-2014-3669', 'CVE-2014-3668', 'CVE-2008-2666', 'CVE-2015-3307', 'CVE-2021-40438', 'CVE-2007-1484', 'CVE-2007-4887', 'CVE-2007-4889', 'CVE-2017-9226', 'CVE-2016-9935', 'CVE-2007-6420', 'CVE-2007-6421', 'CVE-2007-6422', 'CVE-2007-6423', 'CVE-2006-5178', 'CVE-2011-0753', 'CVE-2011-0752', 'CVE-2011-0755', 'CVE-2011-0754', 'CVE-2016-2554', 'CVE-2007-4670', 'CVE-2009-2699', 'CVE-2013-1896', 'CVE-2016-8612', 'CVE-2009-4143', 'CVE-2009-4142', 'CVE-2010-1128', 'CVE-2022-37436', 'CVE-2016-6288', 'CVE-2017-16642', 'CVE-2012-3499', 'CVE-2010-4657', 'CVE-2008-0456', 'CVE-2008-0455', 'CVE-2015-7803', 'CVE-2008-2108', 'CVE-2015-7804', 'CVE-2014-3479', 'CVE-2008-2107', 'CVE-2012-0789', 'CVE-2012-0788']"
45.141.180.143,['webplus24.de'],443,Germany,Frankfurt am Main,"['CVE-2022-31628', 'CVE-2022-31629', 'CVE-2014-0118', 'CVE-2017-7272', 'CVE-2017-9798', 'CVE-2022-31813', 'CVE-2022-29404', 'CVE-2015-3183', 'CVE-2016-4975', 'CVE-2022-28330', 'CVE-2012-4558', 'CVE-2018-19396', 'CVE-2018-19395', 'CVE-2013-1896', 'CVE-2016-8612', 'CVE-2014-0226', 'CVE-2019-9639', 'CVE-2022-22721', 'CVE-2022-22720', 'CVE-2013-5704', 'CVE-2017-7679', 'CVE-2019-9638', 'CVE-2013-6438', 'CVE-2012-2687', 'CVE-2015-9253', 'CVE-2022-37436', 'CVE-2019-9637', 'CVE-2016-5387', 'CVE-2021-40438', 'CVE-2012-3499', 'CVE-2008-0455', 'CVE-2017-9788', 'CVE-2018-1301', 'CVE-2018-1302', 'CVE-2018-1303', 'CVE-2017-3167', 'CVE-2021-34798', 'CVE-2012-0883', 'CVE-2017-3169', 'CVE-2015-0228', 'CVE-2021-44790', 'CVE-2014-0231', 'CVE-2019-9641', 'CVE-2013-1862', 'CVE-2017-7963', 'CVE-2014-0098', 'CVE-2006-20001', 'CVE-2022-30556', 'CVE-2016-8743', 'CVE-2021-39275', 'CVE-2022-28615', 'CVE-2022-28614', 'CVE-2022-22719']"
54.235.86.117,"['amazonaws.com', 'doodlekit.com']",443,United States,Ashburn,"['CVE-2014-0118', 'CVE-2017-9798', 'CVE-2022-31813', 'CVE-2022-29404', 'CVE-2015-3183', 'CVE-2016-4975', 'CVE-2022-28330', 'CVE-2012-4558', 'CVE-2013-1896', 'CVE-2016-8612', 'CVE-2014-0226', 'CVE-2022-22721', 'CVE-2022-22720', 'CVE-2013-5704', 'CVE-2017-7679', 'CVE-2013-6438', 'CVE-2012-2687', 'CVE-2022-37436', 'CVE-2016-5387', 'CVE-2021-40438', 'CVE-2012-3499', 'CVE-2008-0455', 'CVE-2017-9788', 'CVE-2018-1301', 'CVE-2018-1302', 'CVE-2018-1303', 'CVE-2017-3167', 'CVE-2021-34798', 'CVE-2012-0883', 'CVE-2017-3169', 'CVE-2015-0228', 'CVE-2021-44790', 'CVE-2014-0231', 'CVE-2013-1862', 'CVE-2014-0098', 'CVE-2006-20001', 'CVE-2022-30556', 'CVE-2016-8743', 'CVE-2021-39275', 'CVE-2022-28615', 'CVE-2022-28614', 'CVE-2022-22719']"
93.113.158.93,['ztomy.com'],80,Netherlands,Amsterdam,"['CVE-2020-1934', 'CVE-2021-34798', 'CVE-2022-29404', 'CVE-2021-33193', 'CVE-2023-27522', 'CVE-2006-20001', 'CVE-2022-28330', 'CVE-2020-11993', 'CVE-2021-44224', 'CVE-2022-22721', 'CVE-2022-22720', 'CVE-2019-17567', 'CVE-2022-31813', 'CVE-2022-37436', 'CVE-2021-40438', 'CVE-2021-36160', 'CVE-2022-23943', 'CVE-2020-1927', 'CVE-2022-36760', 'CVE-2023-25690', 'CVE-2020-9490', 'CVE-2020-11984', 'CVE-2021-44790', 'CVE-2021-26690', 'CVE-2021-26691', 'CVE-2022-26377', 'CVE-2020-35452', 'CVE-2020-13938', 'CVE-2020-13950', 'CVE-2022-30556', 'CVE-2021-39275', 'CVE-2022-28615', 'CVE-2022-28614', 'CVE-2022-22719']"
209.29.179.174,[],80,Canada,Toronto,"['CVE-2014-0117', 'CVE-2014-0118', 'CVE-2016-2182', 'CVE-2017-9798', 'CVE-2016-2178', 'CVE-2016-2179', 'CVE-2015-3185', 'CVE-2015-3184', 'CVE-2015-3183', 'CVE-2022-28330', 'CVE-2016-2177', 'CVE-2013-6450', 'CVE-2016-2181', 'CVE-2016-6302', 'CVE-2016-6306', 'CVE-2016-6304', 'CVE-2017-7679', 'CVE-2022-31813', 'CVE-2020-1927', 'CVE-2016-2180', 'CVE-2016-0703', 'CVE-2016-0702', 'CVE-2016-0705', 'CVE-2016-0704', 'CVE-2015-3196', 'CVE-2015-3197', 'CVE-2021-4044', 'CVE-2021-44790', 'CVE-2014-0198', 'CVE-2016-2109', 'CVE-2016-2108', 'CVE-2016-2105', 'CVE-2016-2107', 'CVE-2016-2106', 'CVE-2016-2183', 'CVE-2016-4975', 'CVE-2020-13938', 'CVE-2020-35452', 'CVE-2022-22719', 'CVE-2020-1934', 'CVE-2021-34798', 'CVE-2014-0195', 'CVE-2019-0217', 'CVE-2014-3523', 'CVE-2013-5704', 'CVE-2019-17567', 'CVE-2016-2176', 'CVE-2013-6438', 'CVE-2014-5139', 'CVE-2016-8743', 'CVE-2014-3505', 'CVE-2010-5298', 'CVE-2016-6303', 'CVE-2014-0231', 'CVE-2021-26690', 'CVE-2021-26691', 'CVE-2014-3511', 'CVE-2019-0220', 'CVE-2014-8275', 'CVE-2016-0798', 'CVE-2016-0799', 'CVE-2014-3512', 'CVE-2016-0797', 'CVE-2021-39275', 'CVE-2014-3581', 'CVE-2016-0736', 'CVE-2015-3194', 'CVE-2022-29404', 'CVE-2018-1312', 'CVE-2006-20001', 'CVE-2014-0221', 'CVE-2014-3506', 'CVE-2014-3507', 'CVE-2014-0224', 'CVE-2014-0226', 'CVE-2014-3508', 'CVE-2014-3509', 'CVE-2022-22721', 'CVE-2022-22720', 'CVE-2017-15710', 'CVE-2017-15715', 'CVE-2014-3567', 'CVE-2019-10098', 'CVE-2015-0228', 'CVE-2016-5387', 'CVE-2021-40438', 'CVE-2022-23943', 'CVE-2018-17199', 'CVE-2014-0160', 'CVE-2015-0209', 'CVE-2018-1301', 'CVE-2018-1302', 'CVE-2018-1303', 'CVE-2022-36760', 'CVE-2023-25690', 'CVE-2014-3470', 'CVE-2015-0205', 'CVE-2015-0204', 'CVE-2020-11985', 'CVE-2015-0206', 'CVE-2014-3571', 'CVE-2014-3570', 'CVE-2014-3572', 'CVE-2013-6449', 'CVE-2013-4353', 'CVE-2013-4352', 'CVE-2022-26377', 'CVE-2014-0098', 'CVE-2014-3513', 'CVE-2015-0287', 'CVE-2015-0286', 'CVE-2015-0289', 'CVE-2015-0288', 'CVE-2016-7056', 'CVE-2014-3510', 'CVE-2015-1789', 'CVE-2015-1788', 'CVE-2014-8176', 'CVE-2014-3566', 'CVE-2016-8612', 'CVE-2017-3735', 'CVE-2014-3568', 'CVE-2016-2842', 'CVE-2015-0292', 'CVE-2015-0293', 'CVE-2022-37436', 'CVE-2015-4000', 'CVE-2017-9788', 'CVE-2014-8109', 'CVE-2015-1790', 'CVE-2015-1791', 'CVE-2015-1792', 'CVE-2016-2161', 'CVE-2019-10092', 'CVE-2016-0800', 'CVE-2022-30556', 'CVE-2018-1283', 'CVE-2017-3167', 'CVE-2022-28615', 'CVE-2022-28614', 'CVE-2015-3195']"
185.219.161.249,[],443,Netherlands,Amsterdam,"['CVE-2014-0117', 'CVE-2014-0118', 'CVE-2017-9798', 'CVE-2015-3185', 'CVE-2015-3184', 'CVE-2015-3183', 'CVE-2019-1563', 'CVE-2022-28330', 'CVE-2022-2068', 'CVE-2017-7679', 'CVE-2022-31813', 'CVE-2020-1927', 'CVE-2023-0286', 'CVE-2017-3167', 'CVE-2021-44790', 'CVE-2016-4975', 'CVE-2020-13938', 'CVE-2023-0215', 'CVE-2020-35452', 'CVE-2022-22719', 'CVE-2020-1934', 'CVE-2021-34798', 'CVE-2022-4304', 'CVE-2019-0217', 'CVE-2014-3523', 'CVE-2013-5704', 'CVE-2019-17567', 'CVE-2013-6438', 'CVE-2014-0231', 'CVE-2021-26690', 'CVE-2021-26691', 'CVE-2019-0220', 'CVE-2022-30556', 'CVE-2021-39275', 'CVE-2014-3581', 'CVE-2016-0736', 'CVE-2018-5407', 'CVE-2022-29404', 'CVE-2018-1312', 'CVE-2006-20001', 'CVE-2019-10092', 'CVE-2014-0226', 'CVE-2022-22721', 'CVE-2022-22720', 'CVE-2017-15710', 'CVE-2021-3712', 'CVE-2017-15715', 'CVE-2019-10098', 'CVE-2015-0228', 'CVE-2016-5387', 'CVE-2021-40438', 'CVE-2022-23943', 'CVE-2018-17199', 'CVE-2021-23841', 'CVE-2018-1301', 'CVE-2018-1302', 'CVE-2020-1968', 'CVE-2022-36760', 'CVE-2023-25690', 'CVE-2020-11985', 'CVE-2021-4160', 'CVE-2013-4352', 'CVE-2022-26377', 'CVE-2014-0098', 'CVE-2016-8743', 'CVE-2022-0778', 'CVE-2020-1971', 'CVE-2017-3736', 'CVE-2017-3737', 'CVE-2019-1547', 'CVE-2017-3735', 'CVE-2022-1292', 'CVE-2017-3738', 'CVE-2022-37436', 'CVE-2021-23840', 'CVE-2018-0737', 'CVE-2018-0734', 'CVE-2018-0732', 'CVE-2017-9788', 'CVE-2018-0739', 'CVE-2014-8109', 'CVE-2016-2161', 'CVE-2016-8612', 'CVE-2019-1552', 'CVE-2019-1551', 'CVE-2019-1559', 'CVE-2018-1283', 'CVE-2018-1303', 'CVE-2022-28615', 'CVE-2022-28614']"
54.169.232.44,['amazonaws.com'],80,Singapore,Singapore,"['CVE-2022-26377', 'CVE-2017-7679', 'CVE-2022-28614', 'CVE-2020-1934', 'CVE-2018-17189', 'CVE-2017-9798', 'CVE-2016-1546', 'CVE-2022-29404', 'CVE-2018-1312', 'CVE-2018-1333', 'CVE-2022-22720', 'CVE-2018-11763', 'CVE-2022-28330', 'CVE-2019-10092', 'CVE-2016-8612', 'CVE-2019-0217', 'CVE-2019-0196', 'CVE-2022-22721', 'CVE-2019-0211', 'CVE-2017-15710', 'CVE-2019-17567', 'CVE-2017-15715', 'CVE-2022-31813', 'CVE-2019-10098', 'CVE-2022-37436', 'CVE-2016-5387', 'CVE-2021-40438', 'CVE-2022-30556', 'CVE-2022-23943', 'CVE-2020-1927', 'CVE-2018-17199', 'CVE-2017-9788', 'CVE-2018-1301', 'CVE-2018-1302', 'CVE-2018-1303', 'CVE-2017-3167', 'CVE-2021-34798', 'CVE-2023-25690', 'CVE-2017-3169', 'CVE-2020-11985', 'CVE-2021-33193', 'CVE-2021-44790', 'CVE-2016-4979', 'CVE-2021-26690', 'CVE-2021-26691', 'CVE-2019-0220', 'CVE-2016-4975', 'CVE-2020-13938', 'CVE-2006-20001', 'CVE-2018-1283', 'CVE-2019-10082', 'CVE-2016-8740', 'CVE-2016-8743', 'CVE-2021-44224', 'CVE-2021-39275', 'CVE-2022-28615', 'CVE-2020-35452', 'CVE-2022-36760', 'CVE-2022-22719']"
